School,Men  Basketball,GSR,GSR Percentage,Graduation Rate,,Overall G,Overall W,Overall L,Overall W-L%
Providence College,14,100-d,1,14,providence,35,21,14,0.485
Purdue University Fort Wayne,13,91-c,0.91,12,purdue fort wayne,36,23,13,0.31
Quinnipiac University,3,100-b,1,3,quinnipiac,34,24,10,0.645
Radford University,13,100-b,1,13,radford,33,16,17,0.688
Rice University,10,91-c,0.91,9,rice,32,11,21,0.882
Rider University,13,67-b,0.67,9,rider,32,15,17,0.688
Robert Morris University,12,100-c,1,12,robert morris,32,10,22,0.485
Sacred Heart University,9,92-c,0.92,8,sacred heart,32,16,16,0.469
Saint Joseph's University,12,100-c,1,12,saint joseph's,35,21,14,0.25
Saint Louis University,13,91-c,0.91,12,saint louis,33,13,20,0.571
Sam Houston State University,13,100-a,1,13,sam houston,33,21,12,0.559
San Diego State University,13,100-c,1,13,san diego,33,18,15,0.6
Santa Clara University,13,85-c,0.85,11,santa clara,33,20,13,0.25
Seattle University,13,100-b,1,13,seattle,37,23,14,0.515
Seton Hall University,12,100-b,1,12,seton hall,37,25,12,0.545
Siena College,13,100-c,1,13,siena,32,4,28,0.667
South Dakota State University,13,100-b,1,13,south dakota,32,12,20,0.743
Southeastern Louisiana University,13,86-c,0.86,11,southeastern louisiana,32,15,17,0.406
Southern Methodist University,13,92-c,0.92,12,southern methodist,33,20,13,0.634
Southern Utah University,18,55-c,0.55,10,southern utah,31,10,21,0.765
Stanford University,11,77-c,0.77,8,stanford,32,14,18,0.722
Stony Brook University,8,60-b,0.6,5,stony brook,35,20,15,0.5
Syracuse University,13,92-c,0.92,12,syracuse,32,20,12,0.588
Temple University,10,67-b,0.67,7,temple,36,16,20,0.25
Texas A&M University-Corpus Christi,13,100-b,1,13,texas a&m-corpus christi,33,21,12,0.784
Texas Southern University,13,55-c,0.55,7,texas southern,33,16,17,0.563
The Citadel,10,78-b,0.78,8,the citadel,32,11,21,0.559
Towson University,9,58-c,0.58,5,towson,34,20,14,0.647
Troy University,13,71-d,0.71,9,troy,32,20,12,0.281
Tulane University,13,61-d,0.61,8,tulane,31,14,17,0.394
Utah State University,11,82-c,0.82,9,utah,37,22,15,0.588
Utah Valley University,13,83-c,0.83,11,utah valley,32,16,16,0.595
Valparaiso University,13,82-c,0.82,11,valparaiso,32,7,25,0.8
Vanderbilt University,11,73-c,0.73,8,vanderbilt,32,9,23,0.355
Villanova University,13,92-c,0.92,12,villanova,34,18,16,0.5
Virginia Commonwealth University,12,86-c,0.86,10,virginia commonwealth,38,24,14,0.529
Wake Forest University,13,100-b,1,13,wake forest,35,21,14,0.8
Washington State University,13,100-b,1,13,washington,32,17,15,0.529
West Virginia University,8,80-a,0.8,6,west virginia,32,9,23,0.632
Western Carolina University,13,100-c,1,13,western carolina,32,22,10,0.125
Western Illinois University,11,70-b,0.7,8,western illinois,33,21,12,0.559
Western Michigan University,13,90-b,0.9,12,western michigan,32,12,20,0.6
William & Mary,13,69-c,0.69,9,william & mary,33,10,23,0.714
Winthrop University,13,86-c,0.86,11,winthrop,32,17,15,0.625
Wofford College,12,60-b,0.6,7,wofford,32,17,15,0.281
Xavier University,14,82-c,0.82,11,xavier,34,16,18,0.636
