,Basketball,CC/Track,Other,School,Sport Category
Two or More,1,1,9,Arizona State University,Women
Unknown,1,0,1,Arizona State University,Women
White,2,3,78,Arizona State University,Women
Total,15,18,168,Arizona State University,Women
Am. Ind./AN,0,0,0,Arkansas State University,Women
Asian,0,0,3,Arkansas State University,Women
Black,10,11,10,Arkansas State University,Women
Hispanic,0,0,0,Arkansas State University,Women
Nat. Haw./PI,0,0,0,Arkansas State University,Women
US N-R,0,0,0,Arkansas State University,Women
Two or More,2,1,1,Arkansas State University,Women
Unknown,1,1,0,Arkansas State University,Women
White,1,20,56,Arkansas State University,Women
Total,14,33,70,Arkansas State University,Women
Am. Ind./AN,0,0,1,Auburn University,Women
Asian,0,0,4,Auburn University,Women
Black,9,10,10,Auburn University,Women
Hispanic,0,1,11,Auburn University,Women
Nat. Haw./PI,0,0,0,Auburn University,Women
US N-R,2,5,8,Auburn University,Women
Two or More,1,1,4,Auburn University,Women
Unknown,0,0,0,Auburn University,Women
White,1,15,107,Auburn University,Women
Total,13,32,145,Auburn University,Women
Am. Ind./AN,0,0,0,Austin Peay State University,Women
Asian,0,0,4,Austin Peay State University,Women
Black,4,11,4,Austin Peay State University,Women
Hispanic,0,0,1,Austin Peay State University,Women
Nat. Haw./PI,0,0,0,Austin Peay State University,Women
US N-R,2,3,7,Austin Peay State University,Women
Two or More,1,1,5,Austin Peay State University,Women
Unknown,0,2,2,Austin Peay State University,Women
White,0,5,44,Austin Peay State University,Women
Total,7,22,67,Austin Peay State University,Women
Am. Ind./AN,0,0,0,Ball State University,Women
Asian,0,0,1,Ball State University,Women
Black,4,12,7,Ball State University,Women
Hispanic,0,4,5,Ball State University,Women
Nat. Haw./PI,0,0,1,Ball State University,Women
US N-R,3,1,19,Ball State University,Women
Two or More,0,2,11,Ball State University,Women
Unknown,0,1,3,Ball State University,Women
White,7,16,91,Ball State University,Women
Total,14,36,138,Ball State University,Women
Am. Ind./AN,0,0,0,Baylor University,Women
Asian,0,0,0,Baylor University,Women
Black,0,0,0,Baylor University,Women
Hispanic,0,0,0,Baylor University,Women
Nat. Haw./PI,0,0,0,Baylor University,Women
US N-R,0,0,0,Baylor University,Women
Two or More,0,0,0,Baylor University,Women
Unknown,0,0,0,Baylor University,Women
White,0,0,0,Baylor University,Women
Total,0,0,0,Baylor University,Women
Am. Ind./AN,0,0,0,Belmont University,Women
Asian,0,1,1,Belmont University,Women
Black,3,0,1,Belmont University,Women
Hispanic,0,1,1,Belmont University,Women
Nat. Haw./PI,0,0,0,Belmont University,Women
US N-R,0,4,5,Belmont University,Women
Two or More,1,2,4,Belmont University,Women
Unknown,0,0,1,Belmont University,Women
White,8,19,50,Belmont University,Women
Total,12,27,63,Belmont University,Women
Am. Ind./AN,0,0,0,Bethune-Cookman University,Women
Asian,0,0,0,Bethune-Cookman University,Women
Black,3,12,11,Bethune-Cookman University,Women
Hispanic,0,0,3,Bethune-Cookman University,Women
Nat. Haw./PI,0,0,0,Bethune-Cookman University,Women
US N-R,0,0,3,Bethune-Cookman University,Women
Two or More,0,0,0,Bethune-Cookman University,Women
Unknown,0,0,0,Bethune-Cookman University,Women
White,0,0,2,Bethune-Cookman University,Women
Total,3,12,19,Bethune-Cookman University,Women
Am. Ind./AN,0,0,0,Binghamton University,Women
Asian,0,2,2,Binghamton University,Women
Black,3,7,1,Binghamton University,Women
Hispanic,1,4,15,Binghamton University,Women
Nat. Haw./PI,0,0,0,Binghamton University,Women
US N-R,3,0,8,Binghamton University,Women
Two or More,1,1,2,Binghamton University,Women
Unknown,0,0,1,Binghamton University,Women
White,7,18,84,Binghamton University,Women
Total,15,32,113,Binghamton University,Women
Am. Ind./AN,0,0,1,Boise State University,Women
Asian,0,1,6,Boise State University,Women
Black,2,3,3,Boise State University,Women
Hispanic,0,0,7,Boise State University,Women
Nat. Haw./PI,1,0,1,Boise State University,Women
US N-R,2,8,7,Boise State University,Women
Two or More,0,0,12,Boise State University,Women
Unknown,0,0,0,Boise State University,Women
White,11,16,75,Boise State University,Women
Total,16,28,112,Boise State University,Women
Am. Ind./AN,0,0,0,Boston College,Women
Asian,0,1,5,Boston College,Women
Black,9,0,4,Boston College,Women
Hispanic,1,2,6,Boston College,Women
Nat. Haw./PI,0,0,0,Boston College,Women
US N-R,3,10,18,Boston College,Women
Two or More,1,1,0,Boston College,Women
Unknown,0,0,0,Boston College,Women
White,1,17,129,Boston College,Women
Total,15,31,162,Boston College,Women
Am. Ind./AN,0,0,0,Boston University,Women
Asian,0,1,7,Boston University,Women
Black,3,3,3,Boston University,Women
Hispanic,0,0,11,Boston University,Women
Nat. Haw./PI,0,1,0,Boston University,Women
US N-R,4,5,34,Boston University,Women
Two or More,1,2,9,Boston University,Women
Unknown,0,1,6,Boston University,Women
White,4,21,109,Boston University,Women
Total,12,34,179,Boston University,Women
Am. Ind./AN,0,0,0,Bowling Green State University,Women
Asian,0,0,0,Bowling Green State University,Women
Black,2,9,3,Bowling Green State University,Women
Hispanic,0,0,1,Bowling Green State University,Women
Nat. Haw./PI,0,0,0,Bowling Green State University,Women
US N-R,1,1,37,Bowling Green State University,Women
Two or More,2,2,11,Bowling Green State University,Women
Unknown,0,2,2,Bowling Green State University,Women
White,9,22,117,Bowling Green State University,Women
Total,14,36,171,Bowling Green State University,Women
Am. Ind./AN,0,0,0,Bradley University,Women
Asian,0,0,0,Bradley University,Women
Black,6,4,3,Bradley University,Women
Hispanic,0,0,0,Bradley University,Women
Nat. Haw./PI,0,0,1,Bradley University,Women
US N-R,3,12,11,Bradley University,Women
Two or More,0,0,3,Bradley University,Women
Unknown,2,1,0,Bradley University,Women
White,3,4,25,Bradley University,Women
Total,14,21,43,Bradley University,Women
Am. Ind./AN,0,0,0,Brigham Young University,Women
Asian,0,0,5,Brigham Young University,Women
Black,1,1,2,Brigham Young University,Women
Hispanic,0,4,14,Brigham Young University,Women
Nat. Haw./PI,0,1,5,Brigham Young University,Women
US N-R,2,2,8,Brigham Young University,Women
Two or More,2,2,4,Brigham Young University,Women
Unknown,0,0,1,Brigham Young University,Women
White,5,36,91,Brigham Young University,Women
Total,10,46,130,Brigham Young University,Women
Am. Ind./AN,0,0,0,Brown University,Women
Asian,0,0,0,Brown University,Women
Black,0,0,0,Brown University,Women
Hispanic,0,0,0,Brown University,Women
Nat. Haw./PI,0,0,0,Brown University,Women
US N-R,0,0,0,Brown University,Women
Two or More,0,0,0,Brown University,Women
Unknown,0,0,0,Brown University,Women
White,0,0,0,Brown University,Women
Total,0,0,0,Brown University,Women
Am. Ind./AN,0,0,0,Bryant University,Women
Asian,0,1,1,Bryant University,Women
Black,1,2,5,Bryant University,Women
Hispanic,0,2,3,Bryant University,Women
Nat. Haw./PI,0,0,0,Bryant University,Women
US N-R,6,3,10,Bryant University,Women
Two or More,1,0,0,Bryant University,Women
Unknown,0,0,0,Bryant University,Women
White,6,29,76,Bryant University,Women
Total,14,37,95,Bryant University,Women
Am. Ind./AN,0,0,0,Bucknell University,Women
Asian,0,0,0,Bucknell University,Women
Black,1,1,2,Bucknell University,Women
Hispanic,0,1,8,Bucknell University,Women
Nat. Haw./PI,0,0,0,Bucknell University,Women
US N-R,0,0,7,Bucknell University,Women
Two or More,0,0,5,Bucknell University,Women
Unknown,0,0,0,Bucknell University,Women
White,11,27,122,Bucknell University,Women
Total,12,29,144,Bucknell University,Women
Am. Ind./AN,0,0,0,Butler University,Women
Asian,0,0,0,Butler University,Women
Black,3,0,4,Butler University,Women
Hispanic,0,0,1,Butler University,Women
Nat. Haw./PI,0,0,0,Butler University,Women
US N-R,0,0,0,Butler University,Women
Two or More,0,0,6,Butler University,Women
Unknown,0,0,1,Butler University,Women
White,11,7,81,Butler University,Women
Total,14,7,93,Butler University,Women
Am. Ind./AN,0,0,1,California Baptist University,Women
Asian,0,0,6,California Baptist University,Women
Black,2,0,12,California Baptist University,Women
Hispanic,0,0,64,California Baptist University,Women
Nat. Haw./PI,0,0,3,California Baptist University,Women
US N-R,4,15,25,California Baptist University,Women
Two or More,3,0,22,California Baptist University,Women
Unknown,0,1,3,California Baptist University,Women
White,2,0,107,California Baptist University,Women
Total,11,16,243,California Baptist University,Women
Am. Ind./AN,0,1,0,California Polytechnic State University,Women
Asian,1,0,6,California Polytechnic State University,Women
Black,2,1,2,California Polytechnic State University,Women
Hispanic,0,5,11,California Polytechnic State University,Women
Nat. Haw./PI,0,0,2,California Polytechnic State University,Women
US N-R,1,0,2,California Polytechnic State University,Women
Two or More,2,5,16,California Polytechnic State University,Women
Unknown,0,0,0,California Polytechnic State University,Women
White,5,22,61,California Polytechnic State University,Women
Total,11,34,100,California Polytechnic State University,Women
Am. Ind./AN,0,0,0,California State University Bakersfield,Women
Asian,1,1,4,California State University Bakersfield,Women
Black,2,0,2,California State University Bakersfield,Women
Hispanic,1,5,26,California State University Bakersfield,Women
Nat. Haw./PI,0,0,1,California State University Bakersfield,Women
US N-R,1,2,15,California State University Bakersfield,Women
Two or More,1,2,7,California State University Bakersfield,Women
Unknown,0,0,2,California State University Bakersfield,Women
White,3,1,22,California State University Bakersfield,Women
Total,9,11,79,California State University Bakersfield,Women
Am. Ind./AN,0,0,0,California State University Fresno,Women
Asian,0,0,0,California State University Fresno,Women
Black,4,10,0,California State University Fresno,Women
Hispanic,0,3,0,California State University Fresno,Women
Nat. Haw./PI,0,0,0,California State University Fresno,Women
US N-R,8,0,0,California State University Fresno,Women
Two or More,0,4,0,California State University Fresno,Women
Unknown,0,15,0,California State University Fresno,Women
White,4,14,0,California State University Fresno,Women
Total,16,46,0,California State University Fresno,Women
Am. Ind./AN,0,0,0,California State University Fullerton,Women
Asian,0,1,2,California State University Fullerton,Women
Black,2,9,6,California State University Fullerton,Women
Hispanic,0,12,34,California State University Fullerton,Women
Nat. Haw./PI,0,0,2,California State University Fullerton,Women
US N-R,3,4,12,California State University Fullerton,Women
Two or More,5,9,9,California State University Fullerton,Women
Unknown,0,0,0,California State University Fullerton,Women
White,2,6,30,California State University Fullerton,Women
Total,12,41,95,California State University Fullerton,Women
Am. Ind./AN,0,0,0,California State University Northridge,Women
Asian,0,0,6,California State University Northridge,Women
Black,3,10,5,California State University Northridge,Women
Hispanic,0,3,30,California State University Northridge,Women
Nat. Haw./PI,1,0,4,California State University Northridge,Women
US N-R,2,1,13,California State University Northridge,Women
Two or More,0,7,7,California State University Northridge,Women
Unknown,0,0,2,California State University Northridge,Women
White,3,4,20,California State University Northridge,Women
Total,9,25,87,California State University Northridge,Women
Am. Ind./AN,0,0,0,California State University Sacramento,Women
Asian,0,2,6,California State University Sacramento,Women
Black,2,11,6,California State University Sacramento,Women
Hispanic,0,5,20,California State University Sacramento,Women
Nat. Haw./PI,1,0,2,California State University Sacramento,Women
US N-R,6,1,14,California State University Sacramento,Women
Two or More,2,2,12,California State University Sacramento,Women
Unknown,1,0,6,California State University Sacramento,Women
White,2,11,46,California State University Sacramento,Women
Total,14,32,112,California State University Sacramento,Women
Am. Ind./AN,0,0,1,Campbell University,Women
Asian,0,0,2,Campbell University,Women
Black,5,17,18,Campbell University,Women
Hispanic,0,0,6,Campbell University,Women
Nat. Haw./PI,0,0,0,Campbell University,Women
US N-R,3,0,16,Campbell University,Women
Two or More,0,0,2,Campbell University,Women
Unknown,0,0,4,Campbell University,Women
White,5,7,91,Campbell University,Women
Total,13,24,140,Campbell University,Women
Am. Ind./AN,0,0,0,Canisius University,Women
Asian,0,0,3,Canisius University,Women
Black,1,1,2,Canisius University,Women
Hispanic,1,0,7,Canisius University,Women
Nat. Haw./PI,0,0,0,Canisius University,Women
US N-R,3,0,16,Canisius University,Women
Two or More,0,0,1,Canisius University,Women
Unknown,0,0,1,Canisius University,Women
White,3,18,74,Canisius University,Women
Total,8,19,104,Canisius University,Women
Am. Ind./AN,0,0,0,Central Connecticut State University,Women
Asian,0,1,0,Central Connecticut State University,Women
Black,5,2,2,Central Connecticut State University,Women
Hispanic,0,1,7,Central Connecticut State University,Women
Nat. Haw./PI,0,0,0,Central Connecticut State University,Women
US N-R,2,0,8,Central Connecticut State University,Women
Two or More,0,1,4,Central Connecticut State University,Women
Unknown,0,0,4,Central Connecticut State University,Women
White,7,14,66,Central Connecticut State University,Women
Total,14,19,91,Central Connecticut State University,Women
Am. Ind./AN,0,0,2,Central Michigan University,Women
Asian,0,1,0,Central Michigan University,Women
Black,6,3,1,Central Michigan University,Women
Hispanic,1,1,1,Central Michigan University,Women
Nat. Haw./PI,0,0,0,Central Michigan University,Women
US N-R,0,0,1,Central Michigan University,Women
Two or More,1,2,4,Central Michigan University,Women
Unknown,3,1,9,Central Michigan University,Women
White,5,27,114,Central Michigan University,Women
Total,16,35,132,Central Michigan University,Women
Am. Ind./AN,0,0,0,Charleston Southern University,Women
Asian,0,0,0,Charleston Southern University,Women
Black,8,2,2,Charleston Southern University,Women
Hispanic,0,1,3,Charleston Southern University,Women
Nat. Haw./PI,0,0,0,Charleston Southern University,Women
US N-R,2,5,12,Charleston Southern University,Women
Two or More,1,0,3,Charleston Southern University,Women
Unknown,0,2,5,Charleston Southern University,Women
White,1,11,38,Charleston Southern University,Women
Total,12,21,63,Charleston Southern University,Women
Am. Ind./AN,1,0,0,Chicago State University,Women
Asian,0,0,0,Chicago State University,Women
Black,8,5,3,Chicago State University,Women
Hispanic,0,0,7,Chicago State University,Women
Nat. Haw./PI,0,0,0,Chicago State University,Women
US N-R,2,4,21,Chicago State University,Women
Two or More,1,0,2,Chicago State University,Women
Unknown,0,0,0,Chicago State University,Women
White,1,0,8,Chicago State University,Women
Total,13,9,41,Chicago State University,Women
Am. Ind./AN,0,0,1,Clemson University,Women
Asian,0,0,1,Clemson University,Women
Black,8,8,8,Clemson University,Women
Hispanic,0,0,0,Clemson University,Women
Nat. Haw./PI,0,0,0,Clemson University,Women
US N-R,1,14,13,Clemson University,Women
Two or More,0,1,23,Clemson University,Women
Unknown,1,0,3,Clemson University,Women
White,3,8,139,Clemson University,Women
Total,13,31,188,Clemson University,Women
Am. Ind./AN,1,0,0,Cleveland State University,Women
Asian,0,0,0,Cleveland State University,Women
Black,4,1,4,Cleveland State University,Women
Hispanic,0,0,1,Cleveland State University,Women
Nat. Haw./PI,0,0,0,Cleveland State University,Women
US N-R,4,0,12,Cleveland State University,Women
Two or More,2,3,6,Cleveland State University,Women
Unknown,0,0,0,Cleveland State University,Women
White,2,14,85,Cleveland State University,Women
Total,13,18,108,Cleveland State University,Women
Am. Ind./AN,0,0,1,Coastal Carolina University,Women
Asian,0,0,2,Coastal Carolina University,Women
Black,10,10,3,Coastal Carolina University,Women
Hispanic,0,2,2,Coastal Carolina University,Women
Nat. Haw./PI,0,0,0,Coastal Carolina University,Women
US N-R,0,4,29,Coastal Carolina University,Women
Two or More,2,2,4,Coastal Carolina University,Women
Unknown,1,4,8,Coastal Carolina University,Women
White,2,10,78,Coastal Carolina University,Women
Total,15,32,127,Coastal Carolina University,Women
Am. Ind./AN,0,0,1,Colgate University,Women
Asian,0,0,1,Colgate University,Women
Black,4,0,2,Colgate University,Women
Hispanic,0,0,4,Colgate University,Women
Nat. Haw./PI,0,0,0,Colgate University,Women
US N-R,1,0,20,Colgate University,Women
Two or More,2,0,8,Colgate University,Women
Unknown,0,0,1,Colgate University,Women
White,7,0,102,Colgate University,Women
Total,14,0,139,Colgate University,Women
Am. Ind./AN,0,0,0,College of Charleston (South Carolina),Women
Asian,0,0,1,College of Charleston (South Carolina),Women
Black,7,1,1,College of Charleston (South Carolina),Women
Hispanic,0,0,4,College of Charleston (South Carolina),Women
Nat. Haw./PI,0,0,0,College of Charleston (South Carolina),Women
US N-R,2,1,6,College of Charleston (South Carolina),Women
Two or More,3,0,6,College of Charleston (South Carolina),Women
Unknown,0,0,0,College of Charleston (South Carolina),Women
White,1,16,51,College of Charleston (South Carolina),Women
Total,13,18,69,College of Charleston (South Carolina),Women
Am. Ind./AN,0,0,0,College of the Holy Cross,Women
Asian,0,0,0,College of the Holy Cross,Women
Black,3,3,1,College of the Holy Cross,Women
Hispanic,0,2,7,College of the Holy Cross,Women
Nat. Haw./PI,0,0,0,College of the Holy Cross,Women
US N-R,1,0,16,College of the Holy Cross,Women
Two or More,0,0,4,College of the Holy Cross,Women
Unknown,0,0,0,College of the Holy Cross,Women
White,9,15,107,College of the Holy Cross,Women
Total,13,20,135,College of the Holy Cross,Women
Am. Ind./AN,2,0,0,Colorado State University,Women
Asian,0,0,3,Colorado State University,Women
Black,1,2,6,Colorado State University,Women
Hispanic,0,0,1,Colorado State University,Women
Nat. Haw./PI,0,0,0,Colorado State University,Women
US N-R,4,4,14,Colorado State University,Women
Two or More,0,2,16,Colorado State University,Women
Unknown,0,0,0,Colorado State University,Women
White,7,20,57,Colorado State University,Women
Total,14,28,97,Colorado State University,Women
Am. Ind./AN,0,0,0,Columbia University-Barnard College,Women
Asian,0,0,0,Columbia University-Barnard College,Women
Black,0,0,0,Columbia University-Barnard College,Women
Hispanic,0,0,0,Columbia University-Barnard College,Women
Nat. Haw./PI,0,0,0,Columbia University-Barnard College,Women
US N-R,0,0,0,Columbia University-Barnard College,Women
Two or More,0,0,0,Columbia University-Barnard College,Women
Unknown,0,0,0,Columbia University-Barnard College,Women
White,0,0,0,Columbia University-Barnard College,Women
Total,0,0,0,Columbia University-Barnard College,Women
Am. Ind./AN,0,0,0,Coppin State University,Women
Asian,0,0,0,Coppin State University,Women
Black,0,0,0,Coppin State University,Women
Hispanic,0,0,0,Coppin State University,Women
Nat. Haw./PI,0,0,0,Coppin State University,Women
US N-R,0,0,0,Coppin State University,Women
Two or More,0,0,0,Coppin State University,Women
Unknown,0,0,0,Coppin State University,Women
White,0,0,0,Coppin State University,Women
Total,0,0,0,Coppin State University,Women
Am. Ind./AN,0,0,0,Cornell University,Women
Asian,0,0,0,Cornell University,Women
Black,0,0,0,Cornell University,Women
Hispanic,0,0,0,Cornell University,Women
Nat. Haw./PI,0,0,0,Cornell University,Women
US N-R,0,0,0,Cornell University,Women
Two or More,0,0,0,Cornell University,Women
Unknown,0,0,0,Cornell University,Women
White,0,0,0,Cornell University,Women
Total,0,0,0,Cornell University,Women
Am. Ind./AN,0,0,0,Creighton University,Women
Asian,0,0,4,Creighton University,Women
Black,1,0,3,Creighton University,Women
Hispanic,0,2,5,Creighton University,Women
Nat. Haw./PI,0,0,0,Creighton University,Women
US N-R,0,0,2,Creighton University,Women
Two or More,1,0,4,Creighton University,Women
Unknown,1,0,4,Creighton University,Women
White,8,12,61,Creighton University,Women
Total,11,14,83,Creighton University,Women
Am. Ind./AN,0,0,0,Dartmouth College,Women
Asian,0,0,3,Dartmouth College,Women
Black,0,2,3,Dartmouth College,Women
Hispanic,0,0,1,Dartmouth College,Women
Nat. Haw./PI,0,0,0,Dartmouth College,Women
US N-R,1,0,9,Dartmouth College,Women
Two or More,1,0,2,Dartmouth College,Women
Unknown,0,0,4,Dartmouth College,Women
White,3,10,42,Dartmouth College,Women
Total,5,12,64,Dartmouth College,Women
Am. Ind./AN,0,0,0,Davidson College,Women
Asian,0,1,6,Davidson College,Women
Black,1,1,3,Davidson College,Women
Hispanic,0,1,13,Davidson College,Women
Nat. Haw./PI,0,0,0,Davidson College,Women
US N-R,6,0,4,Davidson College,Women
Two or More,0,0,3,Davidson College,Women
Unknown,0,0,0,Davidson College,Women
White,6,19,87,Davidson College,Women
Total,13,22,116,Davidson College,Women
Am. Ind./AN,0,0,0,DePaul University,Women
Asian,0,0,1,DePaul University,Women
Black,4,10,3,DePaul University,Women
Hispanic,0,4,5,DePaul University,Women
Nat. Haw./PI,0,0,0,DePaul University,Women
US N-R,2,2,15,DePaul University,Women
Two or More,2,4,3,DePaul University,Women
Unknown,0,1,2,DePaul University,Women
White,5,15,42,DePaul University,Women
Total,13,36,71,DePaul University,Women
Am. Ind./AN,0,0,0,Delaware State University,Women
Asian,0,0,3,Delaware State University,Women
Black,7,24,43,Delaware State University,Women
Hispanic,1,4,23,Delaware State University,Women
Nat. Haw./PI,0,0,1,Delaware State University,Women
US N-R,0,0,3,Delaware State University,Women
Two or More,1,1,12,Delaware State University,Women
Unknown,0,0,0,Delaware State University,Women
White,2,2,39,Delaware State University,Women
Total,11,31,124,Delaware State University,Women
Am. Ind./AN,0,0,0,Drake University,Women
Asian,0,1,2,Drake University,Women
Black,0,4,1,Drake University,Women
Hispanic,0,0,4,Drake University,Women
Nat. Haw./PI,0,0,0,Drake University,Women
US N-R,0,11,6,Drake University,Women
Two or More,1,2,2,Drake University,Women
Unknown,0,0,0,Drake University,Women
White,13,4,76,Drake University,Women
Total,14,22,91,Drake University,Women
Am. Ind./AN,0,0,1,Drexel University,Women
Asian,1,0,2,Drexel University,Women
Black,3,0,4,Drexel University,Women
Hispanic,0,0,2,Drexel University,Women
Nat. Haw./PI,0,0,1,Drexel University,Women
US N-R,3,0,23,Drexel University,Women
Two or More,0,0,5,Drexel University,Women
Unknown,0,0,1,Drexel University,Women
White,5,0,110,Drexel University,Women
Total,12,0,149,Drexel University,Women
Am. Ind./AN,0,0,1,Duke University,Women
Asian,1,0,13,Duke University,Women
Black,4,4,8,Duke University,Women
Hispanic,1,0,12,Duke University,Women
Nat. Haw./PI,0,0,0,Duke University,Women
US N-R,0,0,1,Duke University,Women
Two or More,2,3,7,Duke University,Women
Unknown,0,3,3,Duke University,Women
White,2,8,119,Duke University,Women
Total,10,18,164,Duke University,Women
Am. Ind./AN,0,0,0,Duquesne University,Women
Asian,0,0,3,Duquesne University,Women
Black,3,6,2,Duquesne University,Women
Hispanic,0,0,0,Duquesne University,Women
Nat. Haw./PI,0,0,2,Duquesne University,Women
US N-R,3,0,0,Duquesne University,Women
Two or More,3,0,12,Duquesne University,Women
Unknown,0,0,2,Duquesne University,Women
White,5,31,137,Duquesne University,Women
Total,14,37,158,Duquesne University,Women
Am. Ind./AN,0,0,0,East Carolina University,Women
Asian,0,0,0,East Carolina University,Women
Black,13,15,10,East Carolina University,Women
Hispanic,0,0,0,East Carolina University,Women
Nat. Haw./PI,0,0,0,East Carolina University,Women
US N-R,1,1,23,East Carolina University,Women
Two or More,0,0,7,East Carolina University,Women
Unknown,0,0,2,East Carolina University,Women
White,0,18,93,East Carolina University,Women
Total,14,34,135,East Carolina University,Women
Am. Ind./AN,0,0,0,East Tennessee State University,Women
Asian,0,0,0,East Tennessee State University,Women
Black,2,1,1,East Tennessee State University,Women
Hispanic,0,1,2,East Tennessee State University,Women
Nat. Haw./PI,0,0,0,East Tennessee State University,Women
US N-R,0,1,7,East Tennessee State University,Women
Two or More,0,1,2,East Tennessee State University,Women
Unknown,0,0,0,East Tennessee State University,Women
White,1,2,16,East Tennessee State University,Women
Total,3,6,28,East Tennessee State University,Women
Am. Ind./AN,0,0,0,Eastern Illinois University,Women
Asian,0,0,1,Eastern Illinois University,Women
Black,3,3,2,Eastern Illinois University,Women
Hispanic,0,5,12,Eastern Illinois University,Women
Nat. Haw./PI,0,0,0,Eastern Illinois University,Women
US N-R,2,0,10,Eastern Illinois University,Women
Two or More,0,2,4,Eastern Illinois University,Women
Unknown,3,3,3,Eastern Illinois University,Women
White,7,26,61,Eastern Illinois University,Women
Total,15,39,93,Eastern Illinois University,Women
Am. Ind./AN,0,0,0,Eastern Kentucky University,Women
Asian,1,0,1,Eastern Kentucky University,Women
Black,7,4,6,Eastern Kentucky University,Women
Hispanic,0,2,5,Eastern Kentucky University,Women
Nat. Haw./PI,0,0,0,Eastern Kentucky University,Women
US N-R,1,7,11,Eastern Kentucky University,Women
Two or More,2,0,7,Eastern Kentucky University,Women
Unknown,0,0,0,Eastern Kentucky University,Women
White,2,4,66,Eastern Kentucky University,Women
Total,13,17,96,Eastern Kentucky University,Women
Am. Ind./AN,0,0,0,Eastern Michigan University,Women
Asian,0,0,8,Eastern Michigan University,Women
Black,6,8,5,Eastern Michigan University,Women
Hispanic,1,2,11,Eastern Michigan University,Women
Nat. Haw./PI,0,0,0,Eastern Michigan University,Women
US N-R,2,13,28,Eastern Michigan University,Women
Two or More,1,4,6,Eastern Michigan University,Women
Unknown,0,1,4,Eastern Michigan University,Women
White,4,8,130,Eastern Michigan University,Women
Total,14,36,192,Eastern Michigan University,Women
Am. Ind./AN,0,0,0,Eastern Washington University,Women
Asian,0,0,1,Eastern Washington University,Women
Black,2,4,2,Eastern Washington University,Women
Hispanic,0,3,4,Eastern Washington University,Women
