,Basketball,CC/Track,Other,School
Am. Ind./AN,0,0,1,Abilene Christian University
Asian,1,0,0,Abilene Christian University
Black,6,7,1,Abilene Christian University
Hispanic,1,5,7,Abilene Christian University
Nat. Haw./PI,0,0,0,Abilene Christian University
N-R Alien,0,1,0,Abilene Christian University
Two or More,0,0,0,Abilene Christian University
Unknown,0,0,0,Abilene Christian University
White,5,21,56,Abilene Christian University
Total,13,34,65,Abilene Christian University
Am. Ind./AN,0,0,0,Alabama A&M University
Asian,0,0,0,Alabama A&M University
Black,2,1,9,Alabama A&M University
Hispanic,0,0,0,Alabama A&M University
Nat. Haw./PI,0,0,0,Alabama A&M University
N-R Alien,0,0,1,Alabama A&M University
Two or More,0,0,0,Alabama A&M University
Unknown,0,0,0,Alabama A&M University
White,0,0,0,Alabama A&M University
Total,2,1,10,Alabama A&M University
Am. Ind./AN,0,0,0,Alabama State University
Asian,0,0,1,Alabama State University
Black,13,23,32,Alabama State University
Hispanic,0,0,7,Alabama State University
Nat. Haw./PI,0,0,0,Alabama State University
N-R Alien,0,0,13,Alabama State University
Two or More,3,0,3,Alabama State University
Unknown,1,0,2,Alabama State University
White,0,1,7,Alabama State University
Total,17,24,65,Alabama State University
Am. Ind./AN,0,0,0,Alcorn State University
Asian,0,0,1,Alcorn State University
Black,11,25,13,Alcorn State University
Hispanic,0,0,1,Alcorn State University
Nat. Haw./PI,1,0,0,Alcorn State University
N-R Alien,1,0,17,Alcorn State University
Two or More,1,0,4,Alcorn State University
Unknown,0,0,0,Alcorn State University
White,0,0,12,Alcorn State University
Total,14,25,48,Alcorn State University
Am. Ind./AN,0,0,0,American University
Asian,0,0,2,American University
Black,5,1,0,American University
Hispanic,0,3,4,American University
Nat. Haw./PI,0,0,0,American University
N-R Alien,1,0,7,American University
Two or More,0,0,3,American University
Unknown,0,1,11,American University
White,5,6,44,American University
Total,11,11,71,American University
Am. Ind./AN,0,0,0,Appalachian State University
Asian,0,0,2,Appalachian State University
Black,7,10,1,Appalachian State University
Hispanic,1,0,3,Appalachian State University
Nat. Haw./PI,0,0,0,Appalachian State University
N-R Alien,0,0,2,Appalachian State University
Two or More,1,2,6,Appalachian State University
Unknown,0,0,0,Appalachian State University
White,6,25,88,Appalachian State University
Total,15,37,102,Appalachian State University
Am. Ind./AN,0,0,0,Arizona State University
Asian,1,0,2,Arizona State University
Black,6,7,5,Arizona State University
Hispanic,0,2,12,Arizona State University
Nat. Haw./PI,0,0,1,Arizona State University
N-R Alien,1,1,27,Arizona State University
Two or More,1,2,11,Arizona State University
Unknown,0,0,1,Arizona State University
White,5,16,60,Arizona State University
Total,14,28,119,Arizona State University
Am. Ind./AN,0,0,0,Arkansas State University
Asian,0,0,0,Arkansas State University
Black,10,10,3,Arkansas State University
Hispanic,0,1,2,Arkansas State University
Nat. Haw./PI,0,0,0,Arkansas State University
N-R Alien,0,2,17,Arkansas State University
Two or More,1,0,3,Arkansas State University
Unknown,0,0,1,Arkansas State University
White,4,13,35,Arkansas State University
Total,15,26,61,Arkansas State University
Am. Ind./AN,0,0,1,Auburn University
Asian,0,0,1,Auburn University
Black,10,12,12,Auburn University
Hispanic,0,1,7,Auburn University
Nat. Haw./PI,0,0,0,Auburn University
N-R Alien,2,5,14,Auburn University
Two or More,0,0,0,Auburn University
Unknown,0,0,3,Auburn University
White,3,23,102,Auburn University
Total,15,41,140,Auburn University
Am. Ind./AN,0,0,0,Austin Peay State University
Asian,0,0,0,Austin Peay State University
Black,7,17,3,Austin Peay State University
Hispanic,1,1,6,Austin Peay State University
Nat. Haw./PI,0,0,0,Austin Peay State University
N-R Alien,0,1,10,Austin Peay State University
Two or More,0,0,0,Austin Peay State University
Unknown,0,0,1,Austin Peay State University
White,6,4,48,Austin Peay State University
Total,14,23,68,Austin Peay State University
Am. Ind./AN,0,0,0,Ball State University
Asian,0,0,0,Ball State University
Black,0,0,0,Ball State University
Hispanic,0,0,0,Ball State University
Nat. Haw./PI,0,0,0,Ball State University
N-R Alien,0,0,0,Ball State University
Two or More,0,0,0,Ball State University
Unknown,0,0,0,Ball State University
White,0,0,0,Ball State University
Total,0,0,0,Ball State University
Am. Ind./AN,0,1,0,Baylor University
Asian,0,0,1,Baylor University
Black,11,15,11,Baylor University
Hispanic,0,2,11,Baylor University
Nat. Haw./PI,0,0,0,Baylor University
N-R Alien,0,2,9,Baylor University
Two or More,0,1,5,Baylor University
Unknown,0,0,0,Baylor University
White,1,20,122,Baylor University
Total,12,41,159,Baylor University
Am. Ind./AN,0,0,0,Belmont University
Asian,0,0,0,Belmont University
Black,2,1,1,Belmont University
Hispanic,0,0,1,Belmont University
Nat. Haw./PI,0,0,0,Belmont University
N-R Alien,0,1,3,Belmont University
Two or More,0,1,2,Belmont University
Unknown,0,0,2,Belmont University
White,12,16,59,Belmont University
Total,14,19,68,Belmont University
Am. Ind./AN,0,0,0,Bethune-Cookman University
Asian,0,0,1,Bethune-Cookman University
Black,13,30,17,Bethune-Cookman University
Hispanic,0,0,8,Bethune-Cookman University
Nat. Haw./PI,0,0,0,Bethune-Cookman University
N-R Alien,0,0,12,Bethune-Cookman University
Two or More,0,0,1,Bethune-Cookman University
Unknown,0,0,1,Bethune-Cookman University
White,0,0,0,Bethune-Cookman University
Total,13,30,40,Bethune-Cookman University
Am. Ind./AN,0,0,0,Binghamton University
Asian,0,0,3,Binghamton University
Black,4,8,1,Binghamton University
Hispanic,1,4,6,Binghamton University
Nat. Haw./PI,0,0,0,Binghamton University
N-R Alien,2,0,1,Binghamton University
Two or More,1,1,4,Binghamton University
Unknown,0,0,7,Binghamton University
White,5,14,74,Binghamton University
Total,13,27,96,Binghamton University
Am. Ind./AN,0,0,1,Boise State University
Asian,0,0,1,Boise State University
Black,7,10,3,Boise State University
Hispanic,0,2,8,Boise State University
Nat. Haw./PI,0,0,3,Boise State University
N-R Alien,1,0,6,Boise State University
Two or More,2,2,5,Boise State University
Unknown,0,0,0,Boise State University
White,5,20,98,Boise State University
Total,15,34,125,Boise State University
Am. Ind./AN,0,0,0,Boston College
Asian,0,0,4,Boston College
Black,4,1,2,Boston College
Hispanic,0,1,4,Boston College
Nat. Haw./PI,0,0,0,Boston College
N-R Alien,0,4,14,Boston College
Two or More,2,0,2,Boston College
Unknown,0,2,19,Boston College
White,8,14,118,Boston College
Total,14,22,163,Boston College
Am. Ind./AN,0,0,1,Boston University
Asian,0,0,7,Boston University
Black,5,7,3,Boston University
Hispanic,0,1,8,Boston University
Nat. Haw./PI,0,0,0,Boston University
N-R Alien,2,1,30,Boston University
Two or More,0,0,0,Boston University
Unknown,2,2,19,Boston University
White,5,13,96,Boston University
Total,14,24,164,Boston University
Am. Ind./AN,0,0,0,Bowling Green State University
Asian,0,0,1,Bowling Green State University
Black,3,11,4,Bowling Green State University
Hispanic,2,0,2,Bowling Green State University
Nat. Haw./PI,0,0,0,Bowling Green State University
N-R Alien,0,1,7,Bowling Green State University
Two or More,0,3,2,Bowling Green State University
Unknown,0,1,2,Bowling Green State University
White,8,16,85,Bowling Green State University
Total,13,32,103,Bowling Green State University
Am. Ind./AN,0,0,0,Bradley University
Asian,1,0,1,Bradley University
Black,3,0,1,Bradley University
Hispanic,1,1,1,Bradley University
Nat. Haw./PI,0,0,0,Bradley University
N-R Alien,0,1,4,Bradley University
Two or More,0,0,1,Bradley University
Unknown,0,0,0,Bradley University
White,9,21,38,Bradley University
Total,14,23,46,Bradley University
Am. Ind./AN,0,0,0,Brigham Young University
Asian,1,1,5,Brigham Young University
Black,2,2,0,Brigham Young University
Hispanic,0,1,2,Brigham Young University
Nat. Haw./PI,0,0,6,Brigham Young University
N-R Alien,0,0,4,Brigham Young University
Two or More,0,0,0,Brigham Young University
Unknown,0,0,0,Brigham Young University
White,10,38,110,Brigham Young University
Total,13,42,127,Brigham Young University
Am. Ind./AN,0,0,0,Brown University
Asian,0,0,0,Brown University
Black,0,0,0,Brown University
Hispanic,0,0,0,Brown University
Nat. Haw./PI,0,0,0,Brown University
N-R Alien,0,0,0,Brown University
Two or More,0,0,0,Brown University
Unknown,0,0,0,Brown University
White,0,0,0,Brown University
Total,0,0,0,Brown University
Am. Ind./AN,0,0,1,Bryant University
Asian,0,0,8,Bryant University
Black,3,0,0,Bryant University
Hispanic,1,0,6,Bryant University
Nat. Haw./PI,0,0,0,Bryant University
N-R Alien,3,2,6,Bryant University
Two or More,0,0,0,Bryant University
Unknown,0,0,2,Bryant University
White,7,4,108,Bryant University
Total,14,6,131,Bryant University
Am. Ind./AN,0,0,0,Bucknell University
Asian,0,1,1,Bucknell University
Black,0,2,2,Bucknell University
Hispanic,0,0,3,Bucknell University
Nat. Haw./PI,0,0,0,Bucknell University
N-R Alien,2,0,2,Bucknell University
Two or More,3,1,5,Bucknell University
Unknown,0,0,0,Bucknell University
White,7,24,93,Bucknell University
Total,12,28,106,Bucknell University
Am. Ind./AN,0,0,0,Butler University
Asian,0,0,2,Butler University
Black,5,3,3,Butler University
Hispanic,0,1,3,Butler University
Nat. Haw./PI,0,0,0,Butler University
N-R Alien,0,0,0,Butler University
Two or More,0,0,2,Butler University
Unknown,0,4,4,Butler University
White,8,29,107,Butler University
Total,13,37,121,Butler University
Am. Ind./AN,0,0,1,California Polytechnic State University
Asian,0,1,2,California Polytechnic State University
Black,3,5,1,California Polytechnic State University
Hispanic,4,4,10,California Polytechnic State University
Nat. Haw./PI,0,0,0,California Polytechnic State University
N-R Alien,1,1,2,California Polytechnic State University
Two or More,0,3,11,California Polytechnic State University
Unknown,2,0,5,California Polytechnic State University
White,6,20,60,California Polytechnic State University
Total,16,34,92,California Polytechnic State University
Am. Ind./AN,0,0,0,California State University Bakersfield
Asian,0,0,0,California State University Bakersfield
Black,3,0,0,California State University Bakersfield
Hispanic,0,2,3,California State University Bakersfield
Nat. Haw./PI,0,0,0,California State University Bakersfield
N-R Alien,0,0,0,California State University Bakersfield
Two or More,0,0,0,California State University Bakersfield
Unknown,1,1,0,California State University Bakersfield
White,0,1,32,California State University Bakersfield
Total,4,4,35,California State University Bakersfield
Am. Ind./AN,0,0,0,California State University Fresno
Asian,0,1,4,California State University Fresno
Black,6,9,5,California State University Fresno
Hispanic,1,5,16,California State University Fresno
Nat. Haw./PI,0,1,1,California State University Fresno
N-R Alien,0,0,0,California State University Fresno
Two or More,0,1,4,California State University Fresno
Unknown,1,2,27,California State University Fresno
White,8,10,76,California State University Fresno
Total,16,29,133,California State University Fresno
Am. Ind./AN,0,0,1,California State University Fullerton
Asian,1,0,8,California State University Fullerton
Black,8,16,5,California State University Fullerton
Hispanic,0,8,28,California State University Fullerton
Nat. Haw./PI,0,0,0,California State University Fullerton
N-R Alien,0,0,2,California State University Fullerton
Two or More,1,1,8,California State University Fullerton
Unknown,0,1,6,California State University Fullerton
White,3,4,35,California State University Fullerton
Total,13,30,93,California State University Fullerton
Am. Ind./AN,0,0,0,California State University Northridge
Asian,0,0,4,California State University Northridge
Black,6,8,7,California State University Northridge
Hispanic,0,2,10,California State University Northridge
Nat. Haw./PI,0,0,0,California State University Northridge
N-R Alien,0,3,11,California State University Northridge
Two or More,0,0,0,California State University Northridge
Unknown,4,3,38,California State University Northridge
White,1,4,35,California State University Northridge
Total,11,20,105,California State University Northridge
Am. Ind./AN,0,0,2,California State University Sacramento
Asian,0,1,4,California State University Sacramento
Black,6,6,3,California State University Sacramento
Hispanic,3,1,15,California State University Sacramento
Nat. Haw./PI,0,0,1,California State University Sacramento
N-R Alien,0,1,6,California State University Sacramento
Two or More,1,4,7,California State University Sacramento
Unknown,1,5,5,California State University Sacramento
White,4,15,76,California State University Sacramento
Total,15,33,119,California State University Sacramento
Am. Ind./AN,0,0,1,Campbell University
Asian,0,0,2,Campbell University
Black,9,7,4,Campbell University
Hispanic,0,0,1,Campbell University
Nat. Haw./PI,0,0,0,Campbell University
N-R Alien,0,0,0,Campbell University
Two or More,0,0,0,Campbell University
Unknown,1,11,27,Campbell University
White,5,4,96,Campbell University
Total,15,22,131,Campbell University
Am. Ind./AN,0,0,0,Canisius University
Asian,0,0,0,Canisius University
Black,4,0,2,Canisius University
Hispanic,0,0,2,Canisius University
Nat. Haw./PI,0,0,0,Canisius University
N-R Alien,3,0,10,Canisius University
Two or More,2,0,1,Canisius University
Unknown,1,1,5,Canisius University
White,4,11,72,Canisius University
Total,14,12,92,Canisius University
Am. Ind./AN,0,0,0,Centenary College (Louisiana)
Asian,0,0,0,Centenary College (Louisiana)
Black,0,0,0,Centenary College (Louisiana)
Hispanic,0,0,0,Centenary College (Louisiana)
Nat. Haw./PI,0,0,0,Centenary College (Louisiana)
N-R Alien,0,0,0,Centenary College (Louisiana)
Two or More,0,0,0,Centenary College (Louisiana)
Unknown,0,0,0,Centenary College (Louisiana)
White,0,0,0,Centenary College (Louisiana)
Total,0,0,0,Centenary College (Louisiana)
Am. Ind./AN,0,0,0,Central Connecticut State University
Asian,0,0,0,Central Connecticut State University
Black,5,5,0,Central Connecticut State University
Hispanic,1,1,4,Central Connecticut State University
Nat. Haw./PI,0,0,0,Central Connecticut State University
N-R Alien,0,0,7,Central Connecticut State University
Two or More,0,0,5,Central Connecticut State University
Unknown,1,1,0,Central Connecticut State University
White,8,10,81,Central Connecticut State University
Total,15,17,97,Central Connecticut State University
Am. Ind./AN,0,0,0,Central Michigan University
Asian,0,0,0,Central Michigan University
Black,7,8,2,Central Michigan University
Hispanic,0,0,0,Central Michigan University
Nat. Haw./PI,0,0,1,Central Michigan University
N-R Alien,1,1,6,Central Michigan University
Two or More,0,4,4,Central Michigan University
Unknown,1,0,0,Central Michigan University
White,7,22,88,Central Michigan University
Total,16,35,101,Central Michigan University
Am. Ind./AN,0,0,0,Charleston Southern University
Asian,0,0,2,Charleston Southern University
Black,7,17,3,Charleston Southern University
Hispanic,0,1,2,Charleston Southern University
Nat. Haw./PI,0,0,0,Charleston Southern University
N-R Alien,3,0,9,Charleston Southern University
Two or More,0,0,0,Charleston Southern University
Unknown,0,0,5,Charleston Southern University
White,5,10,47,Charleston Southern University
Total,15,28,68,Charleston Southern University
Am. Ind./AN,0,0,0,Chicago State University
Asian,0,0,3,Chicago State University
Black,9,15,7,Chicago State University
Hispanic,1,0,6,Chicago State University
Nat. Haw./PI,0,0,1,Chicago State University
N-R Alien,0,0,0,Chicago State University
Two or More,0,0,0,Chicago State University
Unknown,0,1,2,Chicago State University
White,3,0,5,Chicago State University
Total,13,16,24,Chicago State University
Am. Ind./AN,0,0,0,Clemson University
Asian,0,0,1,Clemson University
Black,9,11,6,Clemson University
Hispanic,0,0,3,Clemson University
Nat. Haw./PI,0,0,0,Clemson University
N-R Alien,0,0,21,Clemson University
Two or More,1,2,2,Clemson University
Unknown,0,1,1,Clemson University
White,2,10,78,Clemson University
Total,12,24,112,Clemson University
Am. Ind./AN,0,2,0,Cleveland State University
Asian,0,0,0,Cleveland State University
Black,9,0,3,Cleveland State University
Hispanic,0,0,1,Cleveland State University
Nat. Haw./PI,0,0,1,Cleveland State University
N-R Alien,0,0,0,Cleveland State University
Two or More,0,0,3,Cleveland State University
Unknown,0,0,0,Cleveland State University
White,3,10,83,Cleveland State University
Total,12,12,91,Cleveland State University
Am. Ind./AN,0,0,1,Coastal Carolina University
Asian,0,0,1,Coastal Carolina University
Black,5,25,6,Coastal Carolina University
Hispanic,1,1,4,Coastal Carolina University
Nat. Haw./PI,0,0,1,Coastal Carolina University
N-R Alien,0,2,14,Coastal Carolina University
Two or More,2,0,5,Coastal Carolina University
Unknown,1,0,0,Coastal Carolina University
White,6,9,62,Coastal Carolina University
Total,15,37,94,Coastal Carolina University
Am. Ind./AN,0,0,0,Colgate University
Asian,0,0,4,Colgate University
Black,2,2,2,Colgate University
Hispanic,0,0,4,Colgate University
Nat. Haw./PI,0,0,0,Colgate University
N-R Alien,2,0,10,Colgate University
Two or More,1,0,7,Colgate University
Unknown,0,0,5,Colgate University
White,8,11,96,Colgate University
Total,13,13,128,Colgate University
Am. Ind./AN,0,0,0,College of Charleston (South Carolina)
Asian,0,0,1,College of Charleston (South Carolina)
Black,10,3,0,College of Charleston (South Carolina)
Hispanic,1,3,3,College of Charleston (South Carolina)
Nat. Haw./PI,0,0,0,College of Charleston (South Carolina)
N-R Alien,0,3,8,College of Charleston (South Carolina)
Two or More,0,1,2,College of Charleston (South Carolina)
Unknown,0,0,0,College of Charleston (South Carolina)
White,4,12,73,College of Charleston (South Carolina)
Total,15,22,87,College of Charleston (South Carolina)
Am. Ind./AN,0,0,1,College of the Holy Cross
Asian,0,0,0,College of the Holy Cross
Black,2,1,0,College of the Holy Cross
Hispanic,0,0,3,College of the Holy Cross
Nat. Haw./PI,0,0,0,College of the Holy Cross
N-R Alien,0,0,0,College of the Holy Cross
Two or More,0,3,1,College of the Holy Cross
Unknown,3,4,13,College of the Holy Cross
White,7,17,69,College of the Holy Cross
Total,12,25,87,College of the Holy Cross
Am. Ind./AN,0,0,0,Colorado State University
Asian,0,0,2,Colorado State University
Black,0,3,2,Colorado State University
Hispanic,0,3,4,Colorado State University
Nat. Haw./PI,0,0,0,Colorado State University
N-R Alien,7,1,4,Colorado State University
Two or More,2,7,4,Colorado State University
Unknown,0,0,2,Colorado State University
White,7,34,86,Colorado State University
Total,16,48,104,Colorado State University
Am. Ind./AN,0,0,0,Columbia University-Barnard College
Asian,0,0,0,Columbia University-Barnard College
Black,0,0,0,Columbia University-Barnard College
Hispanic,0,0,0,Columbia University-Barnard College
Nat. Haw./PI,0,0,0,Columbia University-Barnard College
N-R Alien,0,0,0,Columbia University-Barnard College
Two or More,0,0,0,Columbia University-Barnard College
Unknown,0,0,0,Columbia University-Barnard College
White,0,0,0,Columbia University-Barnard College
Total,0,0,0,Columbia University-Barnard College
Am. Ind./AN,0,0,0,Coppin State University
Asian,0,0,0,Coppin State University
Black,7,9,12,Coppin State University
Hispanic,0,0,3,Coppin State University
Nat. Haw./PI,0,0,0,Coppin State University
N-R Alien,0,0,0,Coppin State University
Two or More,0,0,0,Coppin State University
Unknown,4,8,17,Coppin State University
White,0,0,9,Coppin State University
Total,11,17,41,Coppin State University
Am. Ind./AN,0,0,0,Cornell University
Asian,0,0,0,Cornell University
Black,0,0,0,Cornell University
Hispanic,0,0,0,Cornell University
Nat. Haw./PI,0,0,0,Cornell University
N-R Alien,0,0,0,Cornell University
Two or More,0,0,0,Cornell University
Unknown,0,0,0,Cornell University
White,0,0,0,Cornell University
Total,0,0,0,Cornell University
Am. Ind./AN,0,0,1,Creighton University
Asian,0,0,4,Creighton University
Black,1,0,3,Creighton University
Hispanic,0,0,1,Creighton University
Nat. Haw./PI,0,0,0,Creighton University
N-R Alien,0,0,1,Creighton University
Two or More,1,1,3,Creighton University
Unknown,0,0,3,Creighton University
White,13,7,82,Creighton University
Total,15,8,98,Creighton University
Am. Ind./AN,0,1,6,Dartmouth College
Asian,1,2,25,Dartmouth College
Black,4,2,9,Dartmouth College
Hispanic,1,1,9,Dartmouth College
Nat. Haw./PI,0,0,1,Dartmouth College
N-R Alien,0,0,0,Dartmouth College
Two or More,0,0,3,Dartmouth College
Unknown,1,4,30,Dartmouth College
White,6,47,227,Dartmouth College
Total,13,57,310,Dartmouth College
Am. Ind./AN,0,0,0,Davidson College
Asian,0,0,1,Davidson College
Black,1,0,2,Davidson College
Hispanic,0,0,0,Davidson College
Nat. Haw./PI,0,0,0,Davidson College
N-R Alien,0,0,1,Davidson College
Two or More,2,0,3,Davidson College
Unknown,0,0,1,Davidson College
White,9,7,62,Davidson College
Total,12,7,70,Davidson College
Am. Ind./AN,0,0,0,DePaul University
Asian,0,0,0,DePaul University
Black,7,9,5,DePaul University
Hispanic,0,0,4,DePaul University
Nat. Haw./PI,0,0,0,DePaul University
N-R Alien,0,2,6,DePaul University
Two or More,0,0,1,DePaul University
Unknown,0,0,0,DePaul University
White,6,14,32,DePaul University
Total,13,25,48,DePaul University
Am. Ind./AN,0,0,0,Delaware State University
Asian,0,0,0,Delaware State University
Black,13,32,46,Delaware State University
Hispanic,1,0,12,Delaware State University
Nat. Haw./PI,0,0,1,Delaware State University
N-R Alien,0,3,10,Delaware State University
Two or More,0,2,6,Delaware State University
Unknown,2,1,1,Delaware State University
White,0,2,46,Delaware State University
Total,16,40,122,Delaware State University
Am. Ind./AN,0,0,0,Drake University
Asian,0,1,5,Drake University
Black,0,9,4,Drake University
Hispanic,0,1,4,Drake University
Nat. Haw./PI,0,0,1,Drake University
N-R Alien,0,1,5,Drake University
Two or More,1,0,3,Drake University
Unknown,1,0,2,Drake University
White,18,30,105,Drake University
Total,20,42,129,Drake University
Am. Ind./AN,0,0,1,Drexel University
Asian,0,0,1,Drexel University
Black,3,0,6,Drexel University
Hispanic,0,0,3,Drexel University
Nat. Haw./PI,0,0,0,Drexel University
N-R Alien,2,0,15,Drexel University
Two or More,0,0,0,Drexel University
Unknown,1,0,22,Drexel University
White,6,0,98,Drexel University
Total,12,0,146,Drexel University
Am. Ind./AN,0,0,1,Duke University
Asian,0,1,9,Duke University
Black,9,2,8,Duke University
Hispanic,1,0,10,Duke University
Nat. Haw./PI,0,0,0,Duke University
N-R Alien,0,0,2,Duke University
Two or More,0,0,0,Duke University
Unknown,1,0,3,Duke University
White,3,15,93,Duke University
Total,14,18,126,Duke University
Am. Ind./AN,0,0,0,Duquesne University
Asian,0,0,1,Duquesne University
Black,2,4,3,Duquesne University
Hispanic,0,0,1,Duquesne University
Nat. Haw./PI,0,0,0,Duquesne University
N-R Alien,6,2,5,Duquesne University
Two or More,1,0,1,Duquesne University
Unknown,0,0,0,Duquesne University
White,4,0,107,Duquesne University
Total,13,6,118,Duquesne University
Am. Ind./AN,0,1,1,East Carolina University
Asian,0,0,3,East Carolina University
Black,8,16,11,East Carolina University
Hispanic,0,1,0,East Carolina University
Nat. Haw./PI,0,0,1,East Carolina University
N-R Alien,1,0,12,East Carolina University
Two or More,1,1,5,East Carolina University
Unknown,2,0,2,East Carolina University
White,1,21,71,East Carolina University
Total,13,40,106,East Carolina University
Am. Ind./AN,0,0,0,East Tennessee State University
Asian,0,0,0,East Tennessee State University
Black,8,8,3,East Tennessee State University
Hispanic,0,0,1,East Tennessee State University
Nat. Haw./PI,0,0,0,East Tennessee State University
N-R Alien,0,2,30,East Tennessee State University
Two or More,3,0,0,East Tennessee State University
Unknown,0,0,0,East Tennessee State University
White,1,14,44,East Tennessee State University
Total,12,24,78,East Tennessee State University
Am. Ind./AN,0,0,0,Eastern Illinois University
Asian,0,0,1,Eastern Illinois University
Black,5,19,10,Eastern Illinois University
Hispanic,0,3,6,Eastern Illinois University
Nat. Haw./PI,0,0,0,Eastern Illinois University
N-R Alien,1,0,3,Eastern Illinois University
Two or More,1,2,4,Eastern Illinois University
Unknown,0,1,4,Eastern Illinois University
White,7,34,97,Eastern Illinois University
Total,14,59,125,Eastern Illinois University
Am. Ind./AN,0,0,1,Eastern Kentucky University
Asian,0,0,0,Eastern Kentucky University
Black,6,3,5,Eastern Kentucky University
Hispanic,0,0,1,Eastern Kentucky University
Nat. Haw./PI,0,0,1,Eastern Kentucky University
N-R Alien,0,5,9,Eastern Kentucky University
Two or More,4,0,4,Eastern Kentucky University
Unknown,1,0,0,Eastern Kentucky University
White,4,10,42,Eastern Kentucky University
Total,15,18,63,Eastern Kentucky University
Am. Ind./AN,0,0,0,Eastern Michigan University
Asian,0,0,1,Eastern Michigan University
Black,9,9,10,Eastern Michigan University
Hispanic,0,0,9,Eastern Michigan University
Nat. Haw./PI,0,0,0,Eastern Michigan University
N-R Alien,0,10,34,Eastern Michigan University
Two or More,3,4,7,Eastern Michigan University
Unknown,0,1,5,Eastern Michigan University
White,3,14,143,Eastern Michigan University
Total,15,38,209,Eastern Michigan University
Am. Ind./AN,1,0,0,Eastern Washington University
Asian,0,2,3,Eastern Washington University
Black,4,1,1,Eastern Washington University
Hispanic,1,2,1,Eastern Washington University
Nat. Haw./PI,0,1,2,Eastern Washington University
N-R Alien,0,3,6,Eastern Washington University
Two or More,0,2,6,Eastern Washington University
Unknown,0,0,0,Eastern Washington University
White,8,17,36,Eastern Washington University
Total,14,28,55,Eastern Washington University
Am. Ind./AN,0,0,0,Elon University
Asian,0,2,1,Elon University
Black,11,6,6,Elon University
Hispanic,0,0,5,Elon University
Nat. Haw./PI,0,0,0,Elon University
N-R Alien,0,4,5,Elon University
Two or More,0,0,3,Elon University
Unknown,0,2,3,Elon University
White,4,28,90,Elon University
Total,15,42,113,Elon University
Am. Ind./AN,0,0,0,Fairfield University
Asian,0,0,1,Fairfield University
Black,3,0,2,Fairfield University
Hispanic,2,0,1,Fairfield University
Nat. Haw./PI,0,0,0,Fairfield University
N-R Alien,3,0,3,Fairfield University
Two or More,0,0,0,Fairfield University
Unknown,0,0,2,Fairfield University
White,5,8,96,Fairfield University
Total,13,8,105,Fairfield University
Am. Ind./AN,0,0,0,Fairleigh Dickinson University Metropolitan Campus
Asian,0,0,2,Fairleigh Dickinson University Metropolitan Campus
Black,9,11,2,Fairleigh Dickinson University Metropolitan Campus
Hispanic,0,0,4,Fairleigh Dickinson University Metropolitan Campus
Nat. Haw./PI,0,1,1,Fairleigh Dickinson University Metropolitan Campus
N-R Alien,3,2,19,Fairleigh Dickinson University Metropolitan Campus
Two or More,0,0,5,Fairleigh Dickinson University Metropolitan Campus
Unknown,0,2,3,Fairleigh Dickinson University Metropolitan Campus
White,1,0,37,Fairleigh Dickinson University Metropolitan Campus
Total,13,16,73,Fairleigh Dickinson University Metropolitan Campus
Am. Ind./AN,0,0,0,Florida A&M University
Asian,0,0,0,Florida A&M University
Black,13,14,33,Florida A&M University
Hispanic,0,0,9,Florida A&M University
Nat. Haw./PI,0,0,0,Florida A&M University
N-R Alien,1,3,3,Florida A&M University
Two or More,0,0,0,Florida A&M University
Unknown,0,0,0,Florida A&M University
White,0,0,1,Florida A&M University
Total,14,17,46,Florida A&M University
Am. Ind./AN,0,0,0,Florida Atlantic University
Asian,0,0,2,Florida Atlantic University
Black,2,6,1,Florida Atlantic University
Hispanic,0,3,8,Florida Atlantic University
Nat. Haw./PI,0,0,0,Florida Atlantic University
N-R Alien,0,1,6,Florida Atlantic University
Two or More,2,0,3,Florida Atlantic University
Unknown,0,0,0,Florida Atlantic University
White,1,1,18,Florida Atlantic University
Total,5,11,38,Florida Atlantic University
Am. Ind./AN,0,0,0,Florida Gulf Coast University
Asian,0,0,0,Florida Gulf Coast University
Black,3,0,5,Florida Gulf Coast University
Hispanic,0,0,5,Florida Gulf Coast University
Nat. Haw./PI,0,0,0,Florida Gulf Coast University
N-R Alien,1,0,14,Florida Gulf Coast University
Two or More,0,0,2,Florida Gulf Coast University
Unknown,0,0,2,Florida Gulf Coast University
White,10,5,53,Florida Gulf Coast University
Total,14,5,81,Florida Gulf Coast University
Am. Ind./AN,0,0,0,Florida International University
Asian,0,0,0,Florida International University
Black,2,2,1,Florida International University
Hispanic,0,0,3,Florida International University
Nat. Haw./PI,0,0,0,Florida International University
N-R Alien,2,0,14,Florida International University
Two or More,0,0,0,Florida International University
Unknown,0,0,0,Florida International University
White,0,2,10,Florida International University
Total,4,4,28,Florida International University
Am. Ind./AN,0,0,0,Florida State University
Asian,0,0,1,Florida State University
Black,8,6,6,Florida State University
Hispanic,1,0,4,Florida State University
Nat. Haw./PI,0,0,1,Florida State University
N-R Alien,0,10,20,Florida State University
Two or More,2,1,6,Florida State University
Unknown,0,0,0,Florida State University
White,1,10,67,Florida State University
Total,12,27,105,Florida State University
Am. Ind./AN,0,0,0,Fordham University
Asian,0,0,3,Fordham University
Black,4,2,1,Fordham University
Hispanic,1,1,5,Fordham University
Nat. Haw./PI,0,0,0,Fordham University
N-R Alien,3,0,5,Fordham University
Two or More,0,0,2,Fordham University
Unknown,0,0,1,Fordham University
