,Basketball,Baseball,CC/Track,Football,Other,School
Total,12,27,34,73,30,University of Connecticut
Am. Ind./AN,0,0,0,0,0,University of Dayton
Asian,0,0,0,0,1,University of Dayton
Black,9,1,0,0,1,University of Dayton
Hispanic,0,1,0,0,1,University of Dayton
Nat. Haw./PI,0,0,0,0,0,University of Dayton
N-R Alien,2,0,0,0,15,University of Dayton
Two or More,0,0,0,0,0,University of Dayton
Unknown,0,0,0,0,1,University of Dayton
White,1,23,14,0,18,University of Dayton
Total,12,25,14,0,37,University of Dayton
Am. Ind./AN,0,0,0,1,0,University of Delaware
Asian,0,0,0,0,1,University of Delaware
Black,9,1,0,40,4,University of Delaware
Hispanic,0,0,0,2,6,University of Delaware
Nat. Haw./PI,0,0,0,0,2,University of Delaware
N-R Alien,0,0,0,0,5,University of Delaware
Two or More,0,0,0,2,1,University of Delaware
Unknown,0,0,0,1,3,University of Delaware
White,4,29,2,26,72,University of Delaware
Total,13,30,2,72,94,University of Delaware
Am. Ind./AN,0,0,0,0,2,University of Denver
Asian,0,0,0,0,0,University of Denver
Black,6,0,0,0,3,University of Denver
Hispanic,0,0,0,0,5,University of Denver
Nat. Haw./PI,0,0,0,0,0,University of Denver
N-R Alien,1,0,0,0,24,University of Denver
Two or More,0,0,0,0,2,University of Denver
Unknown,1,0,0,0,7,University of Denver
White,5,0,0,0,70,University of Denver
Total,13,0,0,0,113,University of Denver
Am. Ind./AN,0,0,0,0,0,University of Detroit Mercy
Asian,0,0,1,0,2,University of Detroit Mercy
Black,3,0,2,0,2,University of Detroit Mercy
Hispanic,0,0,0,0,3,University of Detroit Mercy
Nat. Haw./PI,0,0,0,0,0,University of Detroit Mercy
N-R Alien,3,0,1,0,15,University of Detroit Mercy
Two or More,0,0,0,0,3,University of Detroit Mercy
Unknown,4,0,3,0,4,University of Detroit Mercy
White,2,0,18,0,51,University of Detroit Mercy
Total,12,0,25,0,80,University of Detroit Mercy
Am. Ind./AN,0,0,0,0,0,University of Evansville
Asian,0,0,0,0,0,University of Evansville
Black,3,0,0,0,0,University of Evansville
Hispanic,0,2,0,0,6,University of Evansville
Nat. Haw./PI,0,0,0,0,0,University of Evansville
N-R Alien,4,0,1,0,4,University of Evansville
Two or More,1,0,0,0,1,University of Evansville
Unknown,1,0,0,0,1,University of Evansville
White,4,24,7,0,33,University of Evansville
Total,13,26,8,0,45,University of Evansville
Am. Ind./AN,0,0,0,0,0,University of Florida
Asian,0,1,0,1,0,University of Florida
Black,9,3,11,63,0,University of Florida
Hispanic,0,2,5,2,3,University of Florida
Nat. Haw./PI,0,0,0,0,0,University of Florida
N-R Alien,1,0,2,0,17,University of Florida
Two or More,0,0,0,0,0,University of Florida
Unknown,0,1,1,0,1,University of Florida
White,1,19,10,17,31,University of Florida
Total,11,26,29,83,52,University of Florida
Am. Ind./AN,0,0,0,0,0,University of Georgia
Asian,0,0,0,0,0,University of Georgia
Black,9,1,14,53,1,University of Georgia
Hispanic,0,1,0,2,0,University of Georgia
Nat. Haw./PI,0,0,0,1,0,University of Georgia
N-R Alien,1,0,4,0,5,University of Georgia
Two or More,2,1,1,1,1,University of Georgia
Unknown,0,0,0,0,0,University of Georgia
White,2,23,19,27,34,University of Georgia
Total,14,26,38,84,41,University of Georgia
Am. Ind./AN,0,0,0,0,0,University of Hartford
Asian,0,0,0,0,0,University of Hartford
Black,6,2,0,0,2,University of Hartford
Hispanic,0,1,0,0,3,University of Hartford
Nat. Haw./PI,0,0,0,0,0,University of Hartford
N-R Alien,3,0,0,0,11,University of Hartford
Two or More,0,0,0,0,0,University of Hartford
Unknown,0,0,0,0,0,University of Hartford
White,3,16,1,0,31,University of Hartford
Total,12,19,1,0,47,University of Hartford
Am. Ind./AN,0,0,0,0,0,University of Hawaii Manoa
Asian,1,5,0,0,7,University of Hawaii Manoa
Black,5,0,0,21,1,University of Hawaii Manoa
Hispanic,0,1,0,2,0,University of Hawaii Manoa
Nat. Haw./PI,0,1,0,32,2,University of Hawaii Manoa
N-R Alien,5,1,0,2,19,University of Hawaii Manoa
Two or More,0,4,0,21,14,University of Hawaii Manoa
Unknown,0,0,0,1,0,University of Hawaii Manoa
White,2,14,0,14,9,University of Hawaii Manoa
Total,13,26,0,93,52,University of Hawaii Manoa
Am. Ind./AN,0,0,0,1,0,University of Houston
Asian,0,0,0,0,0,University of Houston
Black,15,2,24,62,0,University of Houston
Hispanic,0,5,8,0,2,University of Houston
Nat. Haw./PI,0,0,3,0,0,University of Houston
N-R Alien,0,0,1,0,3,University of Houston
Two or More,0,0,4,1,1,University of Houston
Unknown,0,0,2,6,0,University of Houston
White,0,28,13,22,8,University of Houston
Total,15,35,55,92,14,University of Houston
Am. Ind./AN,0,0,0,0,0,University of Idaho
Asian,0,0,0,0,0,University of Idaho
Black,5,0,2,29,0,University of Idaho
Hispanic,0,0,1,5,0,University of Idaho
Nat. Haw./PI,0,0,0,5,0,University of Idaho
N-R Alien,2,0,3,2,9,University of Idaho
Two or More,2,0,0,3,0,University of Idaho
Unknown,0,0,0,1,0,University of Idaho
White,3,0,15,29,5,University of Idaho
Total,12,0,21,74,14,University of Idaho
Am. Ind./AN,0,0,0,0,0,University of Illinois Chicago
Asian,0,1,1,0,2,University of Illinois Chicago
Black,8,0,1,0,0,University of Illinois Chicago
Hispanic,0,1,1,0,9,University of Illinois Chicago
Nat. Haw./PI,0,0,1,0,0,University of Illinois Chicago
N-R Alien,0,0,1,0,10,University of Illinois Chicago
Two or More,0,0,0,0,0,University of Illinois Chicago
Unknown,0,0,0,0,0,University of Illinois Chicago
White,5,24,6,0,27,University of Illinois Chicago
Total,13,26,11,0,48,University of Illinois Chicago
Am. Ind./AN,0,0,0,0,0,University of Illinois Urbana-Champaign
Asian,0,0,0,0,3,University of Illinois Urbana-Champaign
Black,11,0,6,46,2,University of Illinois Urbana-Champaign
Hispanic,0,1,1,0,10,University of Illinois Urbana-Champaign
Nat. Haw./PI,0,0,0,1,0,University of Illinois Urbana-Champaign
N-R Alien,0,0,0,0,0,University of Illinois Urbana-Champaign
Two or More,0,0,2,3,3,University of Illinois Urbana-Champaign
Unknown,0,0,0,0,0,University of Illinois Urbana-Champaign
White,1,26,18,42,28,University of Illinois Urbana-Champaign
Total,12,27,27,92,46,University of Illinois Urbana-Champaign
Am. Ind./AN,0,0,1,0,1,University of Iowa
Asian,0,0,0,0,0,University of Iowa
Black,5,2,7,33,0,University of Iowa
Hispanic,0,1,1,1,5,University of Iowa
Nat. Haw./PI,0,0,0,0,0,University of Iowa
N-R Alien,1,0,1,4,11,University of Iowa
Two or More,0,1,0,3,2,University of Iowa
Unknown,1,1,0,2,5,University of Iowa
White,6,19,23,45,69,University of Iowa
Total,13,24,33,88,93,University of Iowa
Am. Ind./AN,0,0,0,0,0,University of Kansas
Asian,0,0,0,0,0,University of Kansas
Black,6,0,9,51,0,University of Kansas
Hispanic,0,4,2,1,0,University of Kansas
Nat. Haw./PI,0,2,0,4,0,University of Kansas
N-R Alien,2,1,5,0,1,University of Kansas
Two or More,2,1,0,3,0,University of Kansas
Unknown,0,0,1,2,0,University of Kansas
White,2,20,20,26,7,University of Kansas
Total,12,28,37,87,8,University of Kansas
Am. Ind./AN,0,0,0,0,0,University of Kentucky
Asian,0,0,0,0,0,University of Kentucky
Black,7,2,9,16,1,University of Kentucky
Hispanic,0,0,0,0,0,University of Kentucky
Nat. Haw./PI,0,0,0,0,0,University of Kentucky
N-R Alien,0,0,0,0,4,University of Kentucky
Two or More,1,0,0,1,0,University of Kentucky
Unknown,0,0,0,0,0,University of Kentucky
White,0,3,15,2,9,University of Kentucky
Total,8,5,24,19,14,University of Kentucky
Am. Ind./AN,0,0,1,1,0,University of Louisiana Monroe
Asian,0,0,0,1,1,University of Louisiana Monroe
Black,9,1,13,57,0,University of Louisiana Monroe
Hispanic,0,2,0,0,0,University of Louisiana Monroe
Nat. Haw./PI,0,1,0,0,0,University of Louisiana Monroe
N-R Alien,1,0,6,0,5,University of Louisiana Monroe
Two or More,0,0,2,7,0,University of Louisiana Monroe
Unknown,0,0,0,2,1,University of Louisiana Monroe
White,3,27,4,18,4,University of Louisiana Monroe
Total,13,31,26,86,11,University of Louisiana Monroe
Am. Ind./AN,1,0,0,0,0,University of Louisiana at Lafayette
Asian,0,0,0,0,0,University of Louisiana at Lafayette
Black,9,1,9,69,0,University of Louisiana at Lafayette
Hispanic,0,1,0,1,2,University of Louisiana at Lafayette
Nat. Haw./PI,0,0,0,0,0,University of Louisiana at Lafayette
N-R Alien,1,0,0,1,4,University of Louisiana at Lafayette
Two or More,0,0,1,0,0,University of Louisiana at Lafayette
Unknown,1,0,0,1,2,University of Louisiana at Lafayette
White,1,23,20,21,11,University of Louisiana at Lafayette
Total,13,25,30,93,19,University of Louisiana at Lafayette
Am. Ind./AN,0,0,0,0,0,University of Louisville
Asian,0,0,0,0,0,University of Louisville
Black,3,1,1,10,2,University of Louisville
Hispanic,0,0,0,1,4,University of Louisville
Nat. Haw./PI,0,0,0,0,0,University of Louisville
N-R Alien,0,0,1,0,4,University of Louisville
Two or More,0,0,0,0,0,University of Louisville
Unknown,0,0,0,0,0,University of Louisville
White,0,9,2,4,9,University of Louisville
Total,3,10,4,15,19,University of Louisville
Am. Ind./AN,0,0,0,0,1,University of Maine
Asian,0,0,0,0,0,University of Maine
Black,1,0,2,39,0,University of Maine
Hispanic,0,0,1,1,0,University of Maine
Nat. Haw./PI,0,0,0,0,0,University of Maine
N-R Alien,9,10,0,3,8,University of Maine
Two or More,1,1,0,7,0,University of Maine
Unknown,0,0,0,0,0,University of Maine
White,1,14,13,41,30,University of Maine
Total,12,25,16,91,39,University of Maine
Am. Ind./AN,0,0,0,0,0,University of Maryland Baltimore County
Asian,0,0,0,0,2,University of Maryland Baltimore County
Black,9,2,11,0,10,University of Maryland Baltimore County
Hispanic,0,1,0,0,1,University of Maryland Baltimore County
Nat. Haw./PI,0,0,0,0,0,University of Maryland Baltimore County
N-R Alien,0,0,1,0,16,University of Maryland Baltimore County
Two or More,1,0,0,0,0,University of Maryland Baltimore County
Unknown,0,1,2,0,2,University of Maryland Baltimore County
White,4,21,12,0,48,University of Maryland Baltimore County
Total,14,25,26,0,79,University of Maryland Baltimore County
Am. Ind./AN,0,0,0,0,2,University of Maryland College Park
Asian,1,0,0,0,1,University of Maryland College Park
Black,6,0,5,51,6,University of Maryland College Park
Hispanic,0,3,0,3,1,University of Maryland College Park
Nat. Haw./PI,0,0,0,0,0,University of Maryland College Park
N-R Alien,1,0,1,1,6,University of Maryland College Park
Two or More,1,0,0,4,2,University of Maryland College Park
Unknown,1,0,0,1,0,University of Maryland College Park
White,4,17,4,23,68,University of Maryland College Park
Total,14,20,10,83,86,University of Maryland College Park
Am. Ind./AN,0,0,0,0,0,University of Maryland Eastern Shore
Asian,0,0,0,0,0,University of Maryland Eastern Shore
Black,0,0,0,0,0,University of Maryland Eastern Shore
Hispanic,0,0,0,0,0,University of Maryland Eastern Shore
Nat. Haw./PI,0,0,0,0,0,University of Maryland Eastern Shore
N-R Alien,0,0,0,0,0,University of Maryland Eastern Shore
Two or More,0,0,0,0,0,University of Maryland Eastern Shore
Unknown,0,0,0,0,0,University of Maryland Eastern Shore
White,0,0,0,0,0,University of Maryland Eastern Shore
Total,0,0,0,0,0,University of Maryland Eastern Shore
Am. Ind./AN,0,0,0,0,0,University of Massachusetts Amherst
Asian,0,0,0,0,3,University of Massachusetts Amherst
Black,11,0,0,52,0,University of Massachusetts Amherst
Hispanic,0,0,1,1,2,University of Massachusetts Amherst
Nat. Haw./PI,0,0,0,0,0,University of Massachusetts Amherst
N-R Alien,0,0,0,0,3,University of Massachusetts Amherst
Two or More,0,0,0,2,1,University of Massachusetts Amherst
Unknown,0,0,1,1,1,University of Massachusetts Amherst
White,2,13,9,29,81,University of Massachusetts Amherst
Total,13,13,11,85,91,University of Massachusetts Amherst
Am. Ind./AN,0,0,0,0,0,University of Massachusetts Lowell
Asian,0,0,0,0,0,University of Massachusetts Lowell
Black,7,0,2,0,2,University of Massachusetts Lowell
Hispanic,0,1,0,0,6,University of Massachusetts Lowell
Nat. Haw./PI,0,0,0,0,0,University of Massachusetts Lowell
N-R Alien,0,0,1,0,3,University of Massachusetts Lowell
Two or More,0,0,0,0,0,University of Massachusetts Lowell
Unknown,0,0,2,0,1,University of Massachusetts Lowell
White,2,18,21,0,33,University of Massachusetts Lowell
Total,9,19,26,0,45,University of Massachusetts Lowell
Am. Ind./AN,0,0,1,0,1,University of Memphis
Asian,0,0,2,0,0,University of Memphis
Black,15,1,8,85,4,University of Memphis
Hispanic,0,1,1,2,6,University of Memphis
Nat. Haw./PI,0,0,0,0,0,University of Memphis
N-R Alien,0,0,10,1,17,University of Memphis
Two or More,0,1,3,6,1,University of Memphis
Unknown,0,0,0,0,0,University of Memphis
White,2,33,17,37,24,University of Memphis
Total,17,36,42,131,53,University of Memphis
Am. Ind./AN,0,1,0,0,0,University of Miami (Florida)
Asian,0,0,0,0,0,University of Miami (Florida)
Black,6,2,7,50,0,University of Miami (Florida)
Hispanic,2,14,0,1,2,University of Miami (Florida)
Nat. Haw./PI,0,0,0,0,0,University of Miami (Florida)
N-R Alien,2,0,2,1,3,University of Miami (Florida)
Two or More,0,0,0,0,0,University of Miami (Florida)
Unknown,0,2,0,7,1,University of Miami (Florida)
White,1,11,4,18,3,University of Miami (Florida)
Total,11,30,13,77,9,University of Miami (Florida)
Am. Ind./AN,0,0,0,0,0,University of Michigan
Asian,0,0,1,1,3,University of Michigan
Black,4,0,7,44,2,University of Michigan
Hispanic,1,1,1,0,8,University of Michigan
Nat. Haw./PI,0,0,0,0,0,University of Michigan
N-R Alien,1,0,1,0,21,University of Michigan
Two or More,0,0,0,3,4,University of Michigan
Unknown,0,3,2,5,13,University of Michigan
White,4,18,16,26,83,University of Michigan
Total,10,22,28,79,134,University of Michigan
Am. Ind./AN,0,0,0,1,0,University of Minnesota Twin Cities
Asian,0,0,0,0,2,University of Minnesota Twin Cities
Black,7,0,5,42,4,University of Minnesota Twin Cities
Hispanic,0,0,0,2,9,University of Minnesota Twin Cities
Nat. Haw./PI,0,0,0,0,0,University of Minnesota Twin Cities
N-R Alien,2,0,2,0,10,University of Minnesota Twin Cities
Two or More,0,0,0,9,0,University of Minnesota Twin Cities
Unknown,1,0,1,0,1,University of Minnesota Twin Cities
White,3,26,37,41,95,University of Minnesota Twin Cities
Total,13,26,45,95,121,University of Minnesota Twin Cities
Am. Ind./AN,1,1,1,0,0,University of Mississippi
Asian,0,0,0,0,1,University of Mississippi
Black,9,1,16,53,0,University of Mississippi
Hispanic,2,0,0,0,0,University of Mississippi
Nat. Haw./PI,0,0,0,0,0,University of Mississippi
N-R Alien,0,0,0,0,0,University of Mississippi
Two or More,0,0,1,5,0,University of Mississippi
Unknown,0,0,1,3,0,University of Mississippi
White,1,24,18,17,17,University of Mississippi
Total,13,26,37,78,18,University of Mississippi
Am. Ind./AN,0,0,0,0,0,University of Missouri-Kansas City
Asian,0,0,0,0,0,University of Missouri-Kansas City
Black,5,0,0,0,2,University of Missouri-Kansas City
Hispanic,1,0,1,0,4,University of Missouri-Kansas City
Nat. Haw./PI,0,0,0,0,0,University of Missouri-Kansas City
N-R Alien,0,0,0,0,16,University of Missouri-Kansas City
Two or More,1,0,0,0,0,University of Missouri-Kansas City
Unknown,1,0,0,0,2,University of Missouri-Kansas City
White,4,0,6,0,12,University of Missouri-Kansas City
Total,12,0,7,0,36,University of Missouri-Kansas City
Am. Ind./AN,0,0,0,0,1,University of Missouri Columbia
Asian,0,0,0,0,1,University of Missouri Columbia
Black,10,1,3,49,3,University of Missouri Columbia
Hispanic,0,1,0,0,0,University of Missouri Columbia
Nat. Haw./PI,0,0,0,0,0,University of Missouri Columbia
N-R Alien,2,0,4,0,7,University of Missouri Columbia
Two or More,0,0,1,2,1,University of Missouri Columbia
Unknown,0,2,1,1,2,University of Missouri Columbia
White,1,24,16,24,44,University of Missouri Columbia
Total,13,28,25,76,59,University of Missouri Columbia
Am. Ind./AN,0,0,1,0,0,University of Montana
Asian,0,0,0,2,0,University of Montana
Black,4,0,1,18,0,University of Montana
Hispanic,0,0,3,2,0,University of Montana
Nat. Haw./PI,0,0,0,4,0,University of Montana
N-R Alien,2,0,0,0,5,University of Montana
Two or More,1,0,1,7,0,University of Montana
Unknown,0,0,0,0,0,University of Montana
White,6,0,31,55,3,University of Montana
Total,13,0,37,88,8,University of Montana
Am. Ind./AN,0,0,0,0,2,University of Nebraska-Lincoln
Asian,0,0,0,0,2,University of Nebraska-Lincoln
Black,6,3,7,41,2,University of Nebraska-Lincoln
Hispanic,0,0,0,1,1,University of Nebraska-Lincoln
Nat. Haw./PI,0,0,0,1,0,University of Nebraska-Lincoln
N-R Alien,1,0,6,1,6,University of Nebraska-Lincoln
Two or More,2,2,4,4,7,University of Nebraska-Lincoln
Unknown,1,1,1,1,1,University of Nebraska-Lincoln
White,2,26,24,24,39,University of Nebraska-Lincoln
Total,12,32,42,73,60,University of Nebraska-Lincoln
Am. Ind./AN,0,0,0,0,0,University of Nebraska at Omaha
Asian,0,0,0,0,1,University of Nebraska at Omaha
Black,4,0,0,0,1,University of Nebraska at Omaha
Hispanic,0,1,0,0,9,University of Nebraska at Omaha
Nat. Haw./PI,0,0,0,0,0,University of Nebraska at Omaha
N-R Alien,0,0,0,0,0,University of Nebraska at Omaha
Two or More,0,0,0,0,1,University of Nebraska at Omaha
Unknown,2,2,0,0,3,University of Nebraska at Omaha
White,6,24,0,0,42,University of Nebraska at Omaha
Total,12,27,0,0,57,University of Nebraska at Omaha
Am. Ind./AN,0,0,0,0,0,University of Nevada Las Vegas
Asian,0,0,0,0,1,University of Nevada Las Vegas
Black,10,0,0,32,0,University of Nevada Las Vegas
Hispanic,1,4,0,3,11,University of Nevada Las Vegas
Nat. Haw./PI,0,0,0,12,2,University of Nevada Las Vegas
N-R Alien,1,0,0,3,16,University of Nevada Las Vegas
Two or More,0,1,0,6,1,University of Nevada Las Vegas
Unknown,0,0,0,0,0,University of Nevada Las Vegas
White,1,21,0,29,23,University of Nevada Las Vegas
Total,13,26,0,85,54,University of Nevada Las Vegas
Am. Ind./AN,0,1,0,0,0,University of Nevada Reno
Asian,0,0,0,0,1,University of Nevada Reno
Black,5,1,0,32,0,University of Nevada Reno
Hispanic,1,3,0,9,0,University of Nevada Reno
Nat. Haw./PI,0,0,0,4,0,University of Nevada Reno
N-R Alien,2,0,0,0,10,University of Nevada Reno
Two or More,3,4,0,6,0,University of Nevada Reno
Unknown,0,0,0,1,0,University of Nevada Reno
White,1,23,0,32,10,University of Nevada Reno
Total,12,32,0,84,21,University of Nevada Reno
Am. Ind./AN,0,0,0,0,0,University of New Hampshire
Asian,0,0,0,0,0,University of New Hampshire
Black,0,0,0,0,0,University of New Hampshire
Hispanic,0,0,0,0,0,University of New Hampshire
Nat. Haw./PI,0,0,0,0,0,University of New Hampshire
N-R Alien,0,0,0,0,0,University of New Hampshire
Two or More,0,0,0,0,0,University of New Hampshire
Unknown,0,0,0,0,0,University of New Hampshire
White,0,0,0,0,0,University of New Hampshire
Total,0,0,0,0,0,University of New Hampshire
Am. Ind./AN,0,1,0,1,1,University of New Mexico
Asian,0,0,0,0,1,University of New Mexico
Black,7,0,4,47,2,University of New Mexico
Hispanic,0,8,1,6,4,University of New Mexico
Nat. Haw./PI,1,1,0,1,0,University of New Mexico
N-R Alien,3,0,6,0,19,University of New Mexico
Two or More,0,2,0,4,4,University of New Mexico
Unknown,0,0,0,1,0,University of New Mexico
White,2,18,8,19,20,University of New Mexico
Total,13,30,19,79,51,University of New Mexico
Am. Ind./AN,0,0,0,0,0,University of New Orleans
Asian,0,0,0,0,1,University of New Orleans
Black,13,1,2,0,0,University of New Orleans
Hispanic,0,2,0,0,1,University of New Orleans
Nat. Haw./PI,0,0,0,0,0,University of New Orleans
N-R Alien,0,0,2,0,5,University of New Orleans
Two or More,0,1,0,0,3,University of New Orleans
Unknown,0,0,0,0,0,University of New Orleans
White,2,20,9,0,10,University of New Orleans
Total,15,24,13,0,20,University of New Orleans
Am. Ind./AN,0,0,0,0,0,University of North Carolina Asheville
Asian,0,0,0,0,0,University of North Carolina Asheville
Black,5,1,3,0,4,University of North Carolina Asheville
Hispanic,0,0,1,0,1,University of North Carolina Asheville
Nat. Haw./PI,0,0,0,0,0,University of North Carolina Asheville
N-R Alien,3,0,0,0,3,University of North Carolina Asheville
Two or More,1,0,0,0,1,University of North Carolina Asheville
Unknown,0,2,0,0,1,University of North Carolina Asheville
White,4,19,10,0,19,University of North Carolina Asheville
Total,13,22,14,0,29,University of North Carolina Asheville
Am. Ind./AN,0,0,0,1,0,University of North Carolina Chapel Hill
Asian,0,1,0,0,2,University of North Carolina Chapel Hill
Black,10,0,7,60,3,University of North Carolina Chapel Hill
Hispanic,0,0,0,1,1,University of North Carolina Chapel Hill
Nat. Haw./PI,0,0,0,0,0,University of North Carolina Chapel Hill
N-R Alien,0,0,1,0,11,University of North Carolina Chapel Hill
Two or More,0,2,1,7,1,University of North Carolina Chapel Hill
Unknown,1,1,0,2,7,University of North Carolina Chapel Hill
White,2,12,22,21,91,University of North Carolina Chapel Hill
Total,13,16,31,92,116,University of North Carolina Chapel Hill
Am. Ind./AN,0,0,0,0,0,University of North Carolina Wilmington
Asian,0,0,1,0,0,University of North Carolina Wilmington
Black,8,0,11,0,0,University of North Carolina Wilmington
Hispanic,0,0,2,0,5,University of North Carolina Wilmington
Nat. Haw./PI,0,0,0,0,0,University of North Carolina Wilmington
N-R Alien,0,0,0,0,14,University of North Carolina Wilmington
Two or More,1,1,3,0,1,University of North Carolina Wilmington
Unknown,0,1,2,0,4,University of North Carolina Wilmington
White,7,34,25,0,45,University of North Carolina Wilmington
Total,16,36,44,0,69,University of North Carolina Wilmington
Am. Ind./AN,0,0,0,1,0,University of North Dakota
Asian,0,0,0,0,0,University of North Dakota
Black,6,0,1,24,0,University of North Dakota
Hispanic,0,1,0,1,0,University of North Dakota
Nat. Haw./PI,0,0,0,0,0,University of North Dakota
N-R Alien,1,0,0,0,13,University of North Dakota
Two or More,1,0,1,9,0,University of North Dakota
Unknown,1,1,0,4,1,University of North Dakota
White,4,16,17,45,32,University of North Dakota
Total,13,18,19,84,46,University of North Dakota
Am. Ind./AN,0,0,0,0,0,University of North Florida
Asian,0,0,0,0,0,University of North Florida
Black,6,0,6,0,0,University of North Florida
Hispanic,1,2,2,0,3,University of North Florida
Nat. Haw./PI,0,0,0,0,0,University of North Florida
N-R Alien,0,0,0,0,17,University of North Florida
Two or More,1,1,1,0,0,University of North Florida
Unknown,1,0,1,0,1,University of North Florida
White,3,23,16,0,18,University of North Florida
Total,12,26,26,0,39,University of North Florida
Am. Ind./AN,0,0,0,0,0,University of North Texas
Asian,0,0,0,0,0,University of North Texas
Black,9,0,5,48,0,University of North Texas
Hispanic,0,0,2,0,0,University of North Texas
Nat. Haw./PI,0,0,0,0,0,University of North Texas
N-R Alien,0,0,0,0,0,University of North Texas
Two or More,1,0,0,5,0,University of North Texas
Unknown,0,0,5,5,2,University of North Texas
White,1,0,9,23,8,University of North Texas
Total,11,0,21,81,10,University of North Texas
Am. Ind./AN,0,0,1,1,0,University of Northern Colorado
Asian,0,2,0,0,0,University of Northern Colorado
Black,5,0,2,32,0,University of Northern Colorado
Hispanic,0,0,1,7,5,University of Northern Colorado
Nat. Haw./PI,0,0,0,0,0,University of Northern Colorado
N-R Alien,0,0,0,0,1,University of Northern Colorado
Two or More,0,0,0,5,1,University of Northern Colorado
Unknown,3,6,0,11,5,University of Northern Colorado
White,5,10,10,32,18,University of Northern Colorado
Total,13,18,14,88,30,University of Northern Colorado
Am. Ind./AN,0,0,0,1,0,University of Northern Iowa
Asian,0,0,0,0,1,University of Northern Iowa
Black,4,0,7,31,1,University of Northern Iowa
Hispanic,0,0,1,0,2,University of Northern Iowa
Nat. Haw./PI,0,0,0,0,0,University of Northern Iowa
N-R Alien,0,0,0,0,0,University of Northern Iowa
Two or More,0,0,0,0,0,University of Northern Iowa
Unknown,0,0,0,0,0,University of Northern Iowa
White,9,0,28,49,26,University of Northern Iowa
Total,13,0,36,81,30,University of Northern Iowa
Am. Ind./AN,0,0,0,1,1,University of Notre Dame
Asian,0,1,0,0,1,University of Notre Dame
Black,6,0,0,36,0,University of Notre Dame
Hispanic,0,2,0,1,6,University of Notre Dame
Nat. Haw./PI,0,0,0,0,0,University of Notre Dame
N-R Alien,1,0,0,0,10,University of Notre Dame
Two or More,1,0,0,4,0,University of Notre Dame
Unknown,0,1,0,1,2,University of Notre Dame
White,4,14,16,31,99,University of Notre Dame
Total,12,18,16,74,119,University of Notre Dame
Am. Ind./AN,0,7,1,1,7,University of Oklahoma
Asian,0,0,0,1,2,University of Oklahoma
Black,8,0,17,57,6,University of Oklahoma
Hispanic,2,4,2,7,9,University of Oklahoma
Nat. Haw./PI,0,0,0,0,0,University of Oklahoma
N-R Alien,2,0,1,0,8,University of Oklahoma
Two or More,1,3,2,6,8,University of Oklahoma
Unknown,1,1,2,10,8,University of Oklahoma
White,4,30,28,39,66,University of Oklahoma
Total,18,45,53,121,114,University of Oklahoma
Am. Ind./AN,0,0,0,0,0,University of Oregon
Asian,0,0,0,0,2,University of Oregon
Black,5,1,5,40,0,University of Oregon
Hispanic,0,1,2,3,1,University of Oregon
Nat. Haw./PI,0,0,0,6,0,University of Oregon
N-R Alien,1,0,2,1,7,University of Oregon
Two or More,1,2,1,8,2,University of Oregon
Unknown,1,1,0,1,0,University of Oregon
White,2,19,29,26,10,University of Oregon
Total,10,24,39,85,22,University of Oregon
Am. Ind./AN,0,0,0,0,0,University of Pennsylvania
Asian,0,0,0,0,0,University of Pennsylvania
Black,0,0,0,0,0,University of Pennsylvania
Hispanic,0,0,0,0,0,University of Pennsylvania
Nat. Haw./PI,0,0,0,0,0,University of Pennsylvania
N-R Alien,0,0,0,0,0,University of Pennsylvania
Two or More,0,0,0,0,0,University of Pennsylvania
Unknown,0,0,0,0,0,University of Pennsylvania
White,0,0,0,0,0,University of Pennsylvania
Total,0,0,0,0,0,University of Pennsylvania
Am. Ind./AN,0,0,0,0,0,University of Pittsburgh
Asian,1,0,0,0,1,University of Pittsburgh
Black,10,0,11,53,6,University of Pittsburgh
Hispanic,0,4,0,2,1,University of Pittsburgh
Nat. Haw./PI,0,0,0,1,0,University of Pittsburgh
N-R Alien,2,1,1,0,6,University of Pittsburgh
Two or More,0,0,1,2,0,University of Pittsburgh
Unknown,0,0,0,0,0,University of Pittsburgh
White,1,29,19,42,71,University of Pittsburgh
Total,14,34,32,100,85,University of Pittsburgh
Am. Ind./AN,0,0,0,0,0,University of Portland
Asian,0,1,1,0,0,University of Portland
Black,2,0,2,0,0,University of Portland
Hispanic,0,0,2,0,2,University of Portland
Nat. Haw./PI,0,0,0,0,1,University of Portland
N-R Alien,4,0,0,0,5,University of Portland
Two or More,2,4,1,0,5,University of Portland
Unknown,0,1,2,0,0,University of Portland
White,5,27,36,0,19,University of Portland
Total,13,33,44,0,32,University of Portland
Am. Ind./AN,0,0,0,0,0,University of Rhode Island
Asian,0,0,0,0,0,University of Rhode Island
Black,8,0,6,30,0,University of Rhode Island
Hispanic,0,1,4,4,0,University of Rhode Island
Nat. Haw./PI,0,0,0,0,0,University of Rhode Island
N-R Alien,2,1,1,0,8,University of Rhode Island
Two or More,0,1,0,2,1,University of Rhode Island
Unknown,1,0,3,8,2,University of Rhode Island
White,1,19,14,27,10,University of Rhode Island
Total,12,22,28,71,21,University of Rhode Island
Am. Ind./AN,0,0,0,0,0,University of Richmond
Asian,1,1,0,1,2,University of Richmond
Black,11,0,0,28,1,University of Richmond
Hispanic,0,0,2,3,1,University of Richmond
