School,Men Basketball,4-Class,GSR Rate,School2,Overall G,Overall W,Overall L,Overall W-L%
Northwestern State University,14,87-c,0.87,Northwestern,33,14,19,0.784
Northwestern University,14,92-c,0.92,Northwestern,33,14,19,0.784
Oakland University,12,92-c,0.92,Oakland,33,13,20,0.838
Ohio University,13,83-c,0.83,Ohio,37,25,12,0.313
Old Dominion University,13,73-c,0.73,Old Dominion,36,18,18,0.406
Oral Roberts University,15,64-c,0.64,Oral Roberts,33,17,16,0.207
Pennsylvania State University,13,100-b,1,Pennsylvania,28,8,20,0.387
Pepperdine University,12,85-c,0.85,Pepperdine,31,15,16,0.531
Portland State University,6,73-c,0.73,Portland,31,15,16,0.333
Presbyterian College,11,91-c,0.91,Presbyterian,32,6,26,0.3
Princeton University,0,100-c,1,Princeton,30,21,9,0.2
Purdue University,1,100-c,1,Purdue,32,15,17,0.357
Purdue University Fort Wayne,13,81-d,0.81,Purdue Fort Wayne,36,25,11,0.355
Quinnipiac University,13,100-c,1,Quinnipiac,32,20,12,0.706
Radford University,12,94-d,0.94,Radford,35,22,13,0.75
Rice University,13,100-d,1,Rice,30,7,23,0.515
Rider University,13,91-c,0.91,Rider,31,14,17,0.419
Robert Morris University,12,61-d,0.61,Robert Morris,36,22,14,0.757
Sacred Heart University,13,100-b,0.91,Sacred Heart,31,5,26,0.6
Saint Peter's University,13,56-d,1,Saint Peter's,31,14,17,0.657
Sam Houston State University,13,91-c,0.56,Sam Houston,35,24,11,0.606
Samford University,13,85-c,0.91,Samford,33,13,20,0.344
San Diego State University,14,50-d,0.85,San Diego,35,18,17,0.567
Santa Clara University,13,50-c,1,Santa Clara,33,14,19,0.588
Seattle University,14,93-c,1,Seattle,30,13,17,0.485
Seton Hall University,13,80-c,0.93,Seton Hall,34,17,17,0.676
Siena College,12,63-d,0.8,Siena,38,20,18,0.3
South Carolina State University,13,81-d,0.63,South Carolina,34,14,20,0.611
South Dakota State University,13,71-c,0.81,South Dakota,30,12,18,0.594
Southeastern Louisiana University,14,93-c,0.94,Southeastern Louisiana,30,12,18,0.606
Southern Methodist University,11,70-b,0.81,Southern Methodist,37,27,10,0.722
Southern Utah University,15,100-c,0.86,Southern Utah,29,2,27,0.212
St. Bonaventure University,13,87-c,1,St. Bonaventure,33,18,15,0.483
Stetson University,16,80-c,0.92,Stetson,31,7,24,0.824
Stony Brook University,14,83-d,0.8,Stony Brook,34,23,11,0.5
Temple University,12,83-c,0.73,Temple,31,9,22,0.5
Texas A&M University-Corpus Christi,13,86-c,0.86,Texas A&M-Corpus Christi,34,18,16,0.469
Texas Tech University,9,92-c,1,Texas Tech,32,14,18,0.424
The Citadel,12,92-c,No Match,The Citadel,33,7,26,0.548
Towson University,13,100-b,0.67,Towson,36,25,11,0.5
Troy University,13,94-d,0.8,Troy,31,11,20,0.531
Tulane University,13,100-e,1,Tulane,34,17,17,0.515
Utah State University,4,94-d,0.89,Utah,33,21,12,0.743
Utah Valley University,12,100-c,0.91,Utah Valley,32,20,12,0.629
Valparaiso University,11,100-c,0.94,Valparaiso,34,18,16,0.29
Vanderbilt University,9,100-c,1,Vanderbilt,31,15,16,0.613
Wagner College,12,80-c,0.8,Wagner,31,19,12,0.515
Wake Forest University,13,87-c,1,Wake Forest,33,17,16,0.559
Washington State University,14,100-c,0.67,Washington,32,17,15,0.333
West Virginia University,11,75-c,0.87,West Virginia,33,17,16,0.697
Western Carolina University,13,88-d,1,Western Carolina,34,19,15,0.972
Western Illinois University,12,93-c,0.93,Western Illinois,30,10,20,0.625
Western Kentucky University,13,100-c,0.75,Western Kentucky,32,20,12,0.606
William & Mary,14,79-c,1,William & Mary,32,20,12,0.583
Winthrop University,17,80-c,0.81,Winthrop,33,20,13,0.545
