Race,Men Basketball 0,Men Baseball 0,Men CC/Track 0,Men Football 2,Men Other 0,School,Sport Category,Men Football 0,Men Other 1,Men Football 1,Men Other 2,Men Basketball 1,Men CC/Track 1,Men Baseball 1,Men Football 4,Men Other 4,Men CC/Track 3,Men Other 9,Men Football 3,Men Baseball 2,Men Baseball 7,Men Other 7
,,,,,,Stanford University,Men,,,,,,,,,,,,,,,
N-R Alien,1,,3,,,Stanford University,Men,0,4,,,,,0,,,,,,,,
,,,,,,Stanford University,Men,,,,,,,,,,,,,,,
Two or More,4,,1,,,Stanford University,Men,18,13,,,,,1,,,,,,,,
,,,,,,Stanford University,Men,,,,,,,,,,,,,,,
Unknown,0,,0,,,Stanford University,Men,0,1,,,,,0,,,,,,,,
,,,,,,Stanford University,Men,,,,,,,,,,,,,,,
White,8,,23,,,Stanford University,Men,53,141,,,,,12,,,,,,,,
,,,,,,Stanford University,Men,,,,,,,,,,,,,,,
Total,18,,30,,,Stanford University,Men,110,184,,,,,20,,,,,,,,
,,,,,,Stephen F. Austin State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Stephen F. Austin State University,Men,0,,,,,,,,,,,,,,
,,,,,,Stephen F. Austin State University,Men,,,,,,,,,,,,,,,
Black,7,1,15,,0,Stephen F. Austin State University,Men,55,,,,,,,,,,,,,,
,,,,,,Stephen F. Austin State University,Men,,,,,,,,,,,,,,,
Hispanic,0,2,5,,0,Stephen F. Austin State University,Men,0,,,,,,,,,,,,,,
,,,,,,Stephen F. Austin State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Stephen F. Austin State University,Men,1,,,,,,,,,,,,,,
,,,,,,Stephen F. Austin State University,Men,,,,,,,,,,,,,,,
N-R Alien,1,0,0,,1,Stephen F. Austin State University,Men,0,,,,,,,,,,,,,,
,,,,,,Stephen F. Austin State University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Stephen F. Austin State University,Men,0,,,,,,,,,,,,,,
,,,,,,Stephen F. Austin State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Stephen F. Austin State University,Men,0,,,,,,,,,,,,,,
,,,,,,Stephen F. Austin State University,Men,,,,,,,,,,,,,,,
White,4,20,14,,8,Stephen F. Austin State University,Men,21,,,,,,,,,,,,,,
,,,,,,Stephen F. Austin State University,Men,,,,,,,,,,,,,,,
Total,12,23,34,,9,Stephen F. Austin State University,Men,77,,,,,,,,,,,,,,
,,,,,,Stetson University,Men,,,,,,,,,,,,,,,
Asian,0,0,,1,0,Stetson University,Men,,,,,,0,,,,,,,,,
,,,,,,Stetson University,Men,,,,,,,,,,,,,,,
Black,7,1,,33,3,Stetson University,Men,,,,,,0,,,,,,,,,
,,,,,,Stetson University,Men,,,,,,,,,,,,,,,
Hispanic,0,2,,8,11,Stetson University,Men,,,,,,0,,,,,,,,,
,,,,,,Stetson University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,,0,0,Stetson University,Men,,,,,,0,,,,,,,,,
,,,,,,Stetson University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,,0,7,Stetson University,Men,,,,,,0,,,,,,,,,
,,,,,,Stetson University,Men,,,,,,,,,,,,,,,
Two or More,2,0,,10,0,Stetson University,Men,,,,,,1,,,,,,,,,
,,,,,,Stetson University,Men,,,,,,,,,,,,,,,
Unknown,0,31,,2,0,Stetson University,Men,,,,,,0,,,,,,,,,
,,,,,,Stetson University,Men,,,,,,,,,,,,,,,
White,7,0,,79,28,Stetson University,Men,,,,,,9,,,,,,,,,
,,,,,,Stetson University,Men,,,,,,,,,,,,,,,
Total,16,34,,135,49,Stetson University,Men,,,,,,11,,,,,,,,,
,,,,,,Stony Brook University,Men,,,,,,,,,,,,,,,
Asian,0,0,1,,4,Stony Brook University,Men,1,,,,,,,,,,,,,,
,,,,,,Stony Brook University,Men,,,,,,,,,,,,,,,
Black,3,0,3,,2,Stony Brook University,Men,35,,,,,,,,,,,,,,
,,,,,,Stony Brook University,Men,,,,,,,,,,,,,,,
Hispanic,0,4,4,,13,Stony Brook University,Men,5,,,,,,,,,,,,,,
,,,,,,Stony Brook University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Stony Brook University,Men,0,,,,,,,,,,,,,,
,,,,,,Stony Brook University,Men,,,,,,,,,,,,,,,
N-R Alien,1,0,1,,19,Stony Brook University,Men,0,,,,,,,,,,,,,,
,,,,,,Stony Brook University,Men,,,,,,,,,,,,,,,
Two or More,0,1,1,,0,Stony Brook University,Men,3,,,,,,,,,,,,,,
,,,,,,Stony Brook University,Men,,,,,,,,,,,,,,,
Unknown,7,3,4,,12,Stony Brook University,Men,32,,,,,,,,,,,,,,
,,,,,,Stony Brook University,Men,,,,,,,,,,,,,,,
White,3,14,27,,41,Stony Brook University,Men,31,,,,,,,,,,,,,,
,,,,,,Stony Brook University,Men,,,,,,,,,,,,,,,
Total,14,22,41,,91,Stony Brook University,Men,107,,,,,,,,,,,,,,
,,,,,,Syracuse University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Syracuse University,Men,0,,,,,,,,,,,,,,
,,,,,,Syracuse University,Men,,,,,,,,,,,,,,,
Black,8,0,2,,1,Syracuse University,Men,50,,,,,,,,,,,,,,
,,,,,,Syracuse University,Men,,,,,,,,,,,,,,,
Hispanic,1,0,2,,3,Syracuse University,Men,5,,,,,,,,,,,,,,
,,,,,,Syracuse University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Syracuse University,Men,0,,,,,,,,,,,,,,
,,,,,,Syracuse University,Men,,,,,,,,,,,,,,,
N-R Alien,3,0,0,,9,Syracuse University,Men,0,,,,,,,,,,,,,,
,,,,,,Syracuse University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Syracuse University,Men,2,,,,,,,,,,,,,,
,,,,,,Syracuse University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,3,Syracuse University,Men,4,,,,,,,,,,,,,,
,,,,,,Syracuse University,Men,,,,,,,,,,,,,,,
White,1,0,14,,44,Syracuse University,Men,22,,,,,,,,,,,,,,
,,,,,,Syracuse University,Men,,,,,,,,,,,,,,,
Total,13,0,18,,60,Syracuse University,Men,83,,,,,,,,,,,,,,
,,,,,,Temple University,Men,,,,,,,,,,,,,,,
Asian,0,1,1,,0,Temple University,Men,0,,,,,,,,,,,,,,
,,,,,,Temple University,Men,,,,,,,,,,,,,,,
Black,9,1,2,,2,Temple University,Men,58,,,,,,,,,,,,,,
,,,,,,Temple University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,0,Temple University,Men,1,,,,,,,,,,,,,,
,,,,,,Temple University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Temple University,Men,0,,,,,,,,,,,,,,
,,,,,,Temple University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,8,Temple University,Men,0,,,,,,,,,,,,,,
,,,,,,Temple University,Men,,,,,,,,,,,,,,,
Two or More,0,1,1,,0,Temple University,Men,1,,,,,,,,,,,,,,
,,,,,,Temple University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Temple University,Men,1,,,,,,,,,,,,,,
,,,,,,Temple University,Men,,,,,,,,,,,,,,,
White,3,24,7,,38,Temple University,Men,26,,,,,,,,,,,,,,
,,,,,,Temple University,Men,,,,,,,,,,,,,,,
Total,12,27,11,,48,Temple University,Men,87,,,,,,,,,,,,,,
,,,,,,Tennessee State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Tennessee State University,Men,0,,,,,,,,,,,,,,
,,,,,,Tennessee State University,Men,,,,,,,,,,,,,,,
Black,12,0,22,,2,Tennessee State University,Men,69,,,,,,,,,,,,,,
,,,,,,Tennessee State University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,0,Tennessee State University,Men,0,,,,,,,,,,,,,,
,,,,,,Tennessee State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Tennessee State University,Men,0,,,,,,,,,,,,,,
,,,,,,Tennessee State University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,0,Tennessee State University,Men,0,,,,,,,,,,,,,,
,,,,,,Tennessee State University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Tennessee State University,Men,0,,,,,,,,,,,,,,
,,,,,,Tennessee State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,1,Tennessee State University,Men,1,,,,,,,,,,,,,,
,,,,,,Tennessee State University,Men,,,,,,,,,,,,,,,
White,0,0,0,,8,Tennessee State University,Men,1,,,,,,,,,,,,,,
,,,,,,Tennessee State University,Men,,,,,,,,,,,,,,,
Total,12,0,22,,11,Tennessee State University,Men,71,,,,,,,,,,,,,,
,,,,,,Tennessee Technological University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Tennessee Technological University,Men,0,,,,,,,,,,,,,,
,,,,,,Tennessee Technological University,Men,,,,,,,,,,,,,,,
Black,9,0,0,,0,Tennessee Technological University,Men,36,,,,,,,,,,,,,,
,,,,,,Tennessee Technological University,Men,,,,,,,,,,,,,,,
Hispanic,1,4,0,,0,Tennessee Technological University,Men,1,,,,,,,,,,,,,,
,,,,,,Tennessee Technological University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Tennessee Technological University,Men,0,,,,,,,,,,,,,,
,,,,,,Tennessee Technological University,Men,,,,,,,,,,,,,,,
N-R Alien,2,0,0,,5,Tennessee Technological University,Men,0,,,,,,,,,,,,,,
,,,,,,Tennessee Technological University,Men,,,,,,,,,,,,,,,
Two or More,1,0,0,,0,Tennessee Technological University,Men,3,,,,,,,,,,,,,,
,,,,,,Tennessee Technological University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Tennessee Technological University,Men,0,,,,,,,,,,,,,,
,,,,,,Tennessee Technological University,Men,,,,,,,,,,,,,,,
White,0,29,9,,7,Tennessee Technological University,Men,40,,,,,,,,,,,,,,
,,,,,,Tennessee Technological University,Men,,,,,,,,,,,,,,,
Total,13,33,9,,12,Tennessee Technological University,Men,80,,,,,,,,,,,,,,
,,,,,,Texas A&M University-Corpus Christi,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Texas A&M University-Corpus Christi,Men,0,,,,,,,,,,,,,,
,,,,,,Texas A&M University-Corpus Christi,Men,,,,,,,,,,,,,,,
Black,8,3,6,,0,Texas A&M University-Corpus Christi,Men,0,,,,,,,,,,,,,,
,,,,,,Texas A&M University-Corpus Christi,Men,,,,,,,,,,,,,,,
Hispanic,1,6,11,,1,Texas A&M University-Corpus Christi,Men,0,,,,,,,,,,,,,,
,,,,,,Texas A&M University-Corpus Christi,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Texas A&M University-Corpus Christi,Men,0,,,,,,,,,,,,,,
,,,,,,Texas A&M University-Corpus Christi,Men,,,,,,,,,,,,,,,
N-R Alien,2,0,3,,7,Texas A&M University-Corpus Christi,Men,0,,,,,,,,,,,,,,
,,,,,,Texas A&M University-Corpus Christi,Men,,,,,,,,,,,,,,,
Two or More,0,1,1,,0,Texas A&M University-Corpus Christi,Men,0,,,,,,,,,,,,,,
,,,,,,Texas A&M University-Corpus Christi,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Texas A&M University-Corpus Christi,Men,0,,,,,,,,,,,,,,
,,,,,,Texas A&M University-Corpus Christi,Men,,,,,,,,,,,,,,,
White,2,21,5,,0,Texas A&M University-Corpus Christi,Men,0,,,,,,,,,,,,,,
,,,,,,Texas A&M University-Corpus Christi,Men,,,,,,,,,,,,,,,
Total,13,31,26,,8,Texas A&M University-Corpus Christi,Men,0,,,,,,,,,,,,,,
,,,,,,Texas A&M University College Station,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,2,Texas A&M University College Station,Men,2,,,,,,,,,,,,,,
,,,,,,Texas A&M University College Station,Men,,,,,,,,,,,,,,,
Black,8,0,17,,0,Texas A&M University College Station,Men,69,,,,,,,,,,,,,,
,,,,,,Texas A&M University College Station,Men,,,,,,,,,,,,,,,
Hispanic,0,1,3,,8,Texas A&M University College Station,Men,1,,,,,,,,,,,,,,
,,,,,,Texas A&M University College Station,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Texas A&M University College Station,Men,0,,,,,,,,,,,,,,
,,,,,,Texas A&M University College Station,Men,,,,,,,,,,,,,,,
N-R Alien,1,0,4,,13,Texas A&M University College Station,Men,0,,,,,,,,,,,,,,
,,,,,,Texas A&M University College Station,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,1,Texas A&M University College Station,Men,1,,,,,,,,,,,,,,
,,,,,,Texas A&M University College Station,Men,,,,,,,,,,,,,,,
Unknown,2,0,1,,0,Texas A&M University College Station,Men,2,,,,,,,,,,,,,,
,,,,,,Texas A&M University College Station,Men,,,,,,,,,,,,,,,
White,2,26,24,,21,Texas A&M University College Station,Men,24,,,,,,,,,,,,,,
,,,,,,Texas A&M University College Station,Men,,,,,,,,,,,,,,,
Total,13,27,49,,45,Texas A&M University College Station,Men,99,,,,,,,,,,,,,,
,,,,,,Texas Christian University,Men,,,,,,,,,,,,,,,
Asian,0,,0,,0,Texas Christian University,Men,0,,,,,,,,,,,,0,,
,,,,,,Texas Christian University,Men,,,,,,,,,,,,,,,
Black,11,,9,,0,Texas Christian University,Men,53,,,,,,,,,,,,0,,
,,,,,,Texas Christian University,Men,,,,,,,,,,,,,,,
Hispanic,0,,0,,1,Texas Christian University,Men,1,,,,,,,,,,,,3,,
,,,,,,Texas Christian University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,,0,,0,Texas Christian University,Men,2,,,,,,,,,,,,0,,
,,,,,,Texas Christian University,Men,,,,,,,,,,,,,,,
N-R Alien,0,,5,,12,Texas Christian University,Men,0,,,,,,,,,,,,1,,
,,,,,,Texas Christian University,Men,,,,,,,,,,,,,,,
Two or More,0,,0,,0,Texas Christian University,Men,1,,,,,,,,,,,,0,,
,,,,,,Texas Christian University,Men,,,,,,,,,,,,,,,
Unknown,1,,0,,1,Texas Christian University,Men,2,,,,,,,,,,,,0,,
,,,,,,Texas Christian University,Men,,,,,,,,,,,,,,,
White,1,,3,,19,Texas Christian University,Men,20,,,,,,,,,,,,20,,
,,,,,,Texas Christian University,Men,,,,,,,,,,,,,,,
Total,13,,17,,33,Texas Christian University,Men,79,,,,,,,,,,,,26,,
,,,,,,Texas Southern University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Texas Southern University,Men,0,,,,,,,,,,,,,,
,,,,,,Texas Southern University,Men,,,,,,,,,,,,,,,
Black,11,13,26,,4,Texas Southern University,Men,60,,,,,,,,,,,,,,
,,,,,,Texas Southern University,Men,,,,,,,,,,,,,,,
Hispanic,0,11,4,,1,Texas Southern University,Men,2,,,,,,,,,,,,,,
,,,,,,Texas Southern University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Texas Southern University,Men,0,,,,,,,,,,,,,,
,,,,,,Texas Southern University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,1,,0,Texas Southern University,Men,0,,,,,,,,,,,,,,
,,,,,,Texas Southern University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,1,Texas Southern University,Men,0,,,,,,,,,,,,,,
,,,,,,Texas Southern University,Men,,,,,,,,,,,,,,,
Unknown,0,1,0,,1,Texas Southern University,Men,0,,,,,,,,,,,,,,
,,,,,,Texas Southern University,Men,,,,,,,,,,,,,,,
White,0,3,1,,0,Texas Southern University,Men,0,,,,,,,,,,,,,,
,,,,,,Texas Southern University,Men,,,,,,,,,,,,,,,
Total,11,28,32,,7,Texas Southern University,Men,62,,,,,,,,,,,,,,
,,,,,,Texas State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Texas State University,Men,0,,,,,,,,,,,,,,
,,,,,,Texas State University,Men,,,,,,,,,,,,,,,
Black,10,0,13,,0,Texas State University,Men,36,,,,,,,,,,,,,,
,,,,,,Texas State University,Men,,,,,,,,,,,,,,,
Hispanic,1,2,3,,1,Texas State University,Men,1,,,,,,,,,,,,,,
,,,,,,Texas State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Texas State University,Men,1,,,,,,,,,,,,,,
,,,,,,Texas State University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,4,Texas State University,Men,1,,,,,,,,,,,,,,
,,,,,,Texas State University,Men,,,,,,,,,,,,,,,
Two or More,1,0,1,,0,Texas State University,Men,4,,,,,,,,,,,,,,
,,,,,,Texas State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Texas State University,Men,5,,,,,,,,,,,,,,
,,,,,,Texas State University,Men,,,,,,,,,,,,,,,
White,1,25,2,,3,Texas State University,Men,30,,,,,,,,,,,,,,
,,,,,,Texas State University,Men,,,,,,,,,,,,,,,
Total,13,27,19,,8,Texas State University,Men,78,,,,,,,,,,,,,,
,,,,,,Texas Tech University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Texas Tech University,Men,0,,,,,,,,,,,,,,
,,,,,,Texas Tech University,Men,,,,,,,,,,,,,,,
Black,5,2,8,,0,Texas Tech University,Men,50,,,,,,,,,,,,,,
,,,,,,Texas Tech University,Men,,,,,,,,,,,,,,,
Hispanic,0,2,3,,0,Texas Tech University,Men,5,,,,,,,,,,,,,,
,,,,,,Texas Tech University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Texas Tech University,Men,0,,,,,,,,,,,,,,
,,,,,,Texas Tech University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,7,,15,Texas Tech University,Men,1,,,,,,,,,,,,,,
,,,,,,Texas Tech University,Men,,,,,,,,,,,,,,,
Two or More,1,1,1,,0,Texas Tech University,Men,2,,,,,,,,,,,,,,
,,,,,,Texas Tech University,Men,,,,,,,,,,,,,,,
Unknown,1,0,0,,0,Texas Tech University,Men,1,,,,,,,,,,,,,,
,,,,,,Texas Tech University,Men,,,,,,,,,,,,,,,
White,2,22,9,,5,Texas Tech University,Men,15,,,,,,,,,,,,,,
,,,,,,Texas Tech University,Men,,,,,,,,,,,,,,,
Total,9,27,28,,20,Texas Tech University,Men,74,,,,,,,,,,,,,,
,,,,,,The Citadel,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,1,The Citadel,Men,,,0,,,,,,,,,,,,
,,,,,,The Citadel,Men,,,,,,,,,,,,,,,
Black,7,1,8,,3,The Citadel,Men,,,38,,,,,,,,,,,,
,,,,,,The Citadel,Men,,,,,,,,,,,,,,,
Hispanic,0,1,1,,4,The Citadel,Men,,,4,,,,,,,,,,,,
,,,,,,The Citadel,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,The Citadel,Men,,,0,,,,,,,,,,,,
,,,,,,The Citadel,Men,,,,,,,,,,,,,,,
N-R Alien,1,0,0,,4,The Citadel,Men,,,0,,,,,,,,,,,,
,,,,,,The Citadel,Men,,,,,,,,,,,,,,,
Two or More,0,1,2,,1,The Citadel,Men,,,2,,,,,,,,,,,,
,,,,,,The Citadel,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,The Citadel,Men,,,0,,,,,,,,,,,,
,,,,,,The Citadel,Men,,,,,,,,,,,,,,,
White,4,21,24,,15,The Citadel,Men,,,25,,,,,,,,,,,,
,,,,,,The Citadel,Men,,,,,,,,,,,,,,,
Total,12,24,35,,28,The Citadel,Men,,,70,,,,,,,,,,,,
,,,,,,The Ohio State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,3,The Ohio State University,Men,0,,,,,,,,,,,,,,
,,,,,,The Ohio State University,Men,,,,,,,,,,,,,,,
Black,8,0,5,,6,The Ohio State University,Men,59,,,,,,,,,,,,,,
,,,,,,The Ohio State University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,2,,5,The Ohio State University,Men,0,,,,,,,,,,,,,,
,,,,,,The Ohio State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,The Ohio State University,Men,1,,,,,,,,,,,,,,
,,,,,,The Ohio State University,Men,,,,,,,,,,,,,,,
N-R Alien,1,0,0,,36,The Ohio State University,Men,1,,,,,,,,,,,,,,
,,,,,,The Ohio State University,Men,,,,,,,,,,,,,,,
Two or More,0,1,3,,2,The Ohio State University,Men,2,,,,,,,,,,,,,,
,,,,,,The Ohio State University,Men,,,,,,,,,,,,,,,
Unknown,0,4,0,,6,The Ohio State University,Men,6,,,,,,,,,,,,,,
,,,,,,The Ohio State University,Men,,,,,,,,,,,,,,,
White,2,18,22,,153,The Ohio State University,Men,16,,,,,,,,,,,,,,
,,,,,,The Ohio State University,Men,,,,,,,,,,,,,,,
Total,11,23,32,,211,The Ohio State University,Men,85,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Charlotte,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,The University of North Carolina at Charlotte,Men,0,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Charlotte,Men,,,,,,,,,,,,,,,
Black,7,3,17,,1,The University of North Carolina at Charlotte,Men,29,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Charlotte,Men,,,,,,,,,,,,,,,
Hispanic,0,0,5,,6,The University of North Carolina at Charlotte,Men,3,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Charlotte,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,The University of North Carolina at Charlotte,Men,0,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Charlotte,Men,,,,,,,,,,,,,,,
N-R Alien,1,0,0,,10,The University of North Carolina at Charlotte,Men,0,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Charlotte,Men,,,,,,,,,,,,,,,
Two or More,2,1,2,,2,The University of North Carolina at Charlotte,Men,1,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Charlotte,Men,,,,,,,,,,,,,,,
Unknown,0,3,1,,2,The University of North Carolina at Charlotte,Men,3,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Charlotte,Men,,,,,,,,,,,,,,,
White,1,20,18,,21,The University of North Carolina at Charlotte,Men,23,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Charlotte,Men,,,,,,,,,,,,,,,
Total,11,27,43,,42,The University of North Carolina at Charlotte,Men,59,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Greensboro,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,The University of North Carolina at Greensboro,Men,0,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Greensboro,Men,,,,,,,,,,,,,,,
Black,8,1,0,,5,The University of North Carolina at Greensboro,Men,0,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Greensboro,Men,,,,,,,,,,,,,,,
Hispanic,1,3,0,,2,The University of North Carolina at Greensboro,Men,0,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Greensboro,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,1,0,,0,The University of North Carolina at Greensboro,Men,0,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Greensboro,Men,,,,,,,,,,,,,,,
N-R Alien,1,2,3,,9,The University of North Carolina at Greensboro,Men,0,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Greensboro,Men,,,,,,,,,,,,,,,
Two or More,0,1,0,,1,The University of North Carolina at Greensboro,Men,0,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Greensboro,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,The University of North Carolina at Greensboro,Men,0,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Greensboro,Men,,,,,,,,,,,,,,,
White,4,16,0,,20,The University of North Carolina at Greensboro,Men,0,,,,,,,,,,,,,,
,,,,,,The University of North Carolina at Greensboro,Men,,,,,,,,,,,,,,,
Total,14,24,3,,37,The University of North Carolina at Greensboro,Men,0,,,,,,,,,,,,,,
,,,,,,The University of Southern Mississippi,Men,,,,,,,,,,,,,,,
Asian,0,,0,,0,The University of Southern Mississippi,Men,0,,,,,,0,,,,,,,,
,,,,,,The University of Southern Mississippi,Men,,,,,,,,,,,,,,,
Black,11,,11,,0,The University of Southern Mississippi,Men,70,,,,,,1,,,,,,,,
,,,,,,The University of Southern Mississippi,Men,,,,,,,,,,,,,,,
Hispanic,0,,0,,0,The University of Southern Mississippi,Men,1,,,,,,0,,,,,,,,
,,,,,,The University of Southern Mississippi,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,,0,,0,The University of Southern Mississippi,Men,0,,,,,,0,,,,,,,,
,,,,,,The University of Southern Mississippi,Men,,,,,,,,,,,,,,,
N-R Alien,2,,2,,7,The University of Southern Mississippi,Men,0,,,,,,0,,,,,,,,
,,,,,,The University of Southern Mississippi,Men,,,,,,,,,,,,,,,
Two or More,0,,0,,0,The University of Southern Mississippi,Men,0,,,,,,0,,,,,,,,
,,,,,,The University of Southern Mississippi,Men,,,,,,,,,,,,,,,
Unknown,0,,0,,0,The University of Southern Mississippi,Men,0,,,,,,0,,,,,,,,
,,,,,,The University of Southern Mississippi,Men,,,,,,,,,,,,,,,
White,0,,3,,11,The University of Southern Mississippi,Men,27,,,,,,23,,,,,,,,
,,,,,,The University of Southern Mississippi,Men,,,,,,,,,,,,,,,
Total,13,,16,,18,The University of Southern Mississippi,Men,98,,,,,,25,,,,,,,,
,,,,,,The University of Texas Rio Grande Valley,Men,,,,,,,,,,,,,,,
Asian,0,1,0,,0,The University of Texas Rio Grande Valley,Men,0,,,,,,,,,,,,,,
,,,,,,The University of Texas Rio Grande Valley,Men,,,,,,,,,,,,,,,
Black,9,0,4,,0,The University of Texas Rio Grande Valley,Men,0,,,,,,,,,,,,,,
,,,,,,The University of Texas Rio Grande Valley,Men,,,,,,,,,,,,,,,
Hispanic,1,9,6,,2,The University of Texas Rio Grande Valley,Men,0,,,,,,,,,,,,,,
,,,,,,The University of Texas Rio Grande Valley,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,The University of Texas Rio Grande Valley,Men,0,,,,,,,,,,,,,,
,,,,,,The University of Texas Rio Grande Valley,Men,,,,,,,,,,,,,,,
N-R Alien,1,2,3,,7,The University of Texas Rio Grande Valley,Men,0,,,,,,,,,,,,,,
,,,,,,The University of Texas Rio Grande Valley,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,The University of Texas Rio Grande Valley,Men,0,,,,,,,,,,,,,,
,,,,,,The University of Texas Rio Grande Valley,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,The University of Texas Rio Grande Valley,Men,0,,,,,,,,,,,,,,
,,,,,,The University of Texas Rio Grande Valley,Men,,,,,,,,,,,,,,,
White,2,12,1,,3,The University of Texas Rio Grande Valley,Men,0,,,,,,,,,,,,,,
,,,,,,The University of Texas Rio Grande Valley,Men,,,,,,,,,,,,,,,
Total,13,24,14,,12,The University of Texas Rio Grande Valley,Men,0,,,,,,,,,,,,,,
,,,,,,The University of Tulsa,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,The University of Tulsa,Men,,,,,,,,0,,,,,,,
,,,,,,The University of Tulsa,Men,,,,,,,,,,,,,,,
Black,13,0,5,,2,The University of Tulsa,Men,,,,,,,,38,,,,,,,
,,,,,,The University of Tulsa,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,7,The University of Tulsa,Men,,,,,,,,4,,,,,,,
,,,,,,The University of Tulsa,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,The University of Tulsa,Men,,,,,,,,0,,,,,,,
,,,,,,The University of Tulsa,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,5,,7,The University of Tulsa,Men,,,,,,,,0,,,,,,,
