Race,"All Students, Men 2017-18 N","All Students 2017-18, Men %","All Students, Men 4-Class N","All Students, Men %","All Studens, Women 2017-18 N","All Students, Women 2017-2018 %","All Students, Women 4-Class N","All Students, Women 4-Class %","All Students, Total 2017-18 N","All Students, Total 2017-18 %","All Students, Total 4-Class N","All Students, Total 4-Class %",Source_All,School_All,Student-Athletes Men 17-18 N,Student-Athletes Men 17-18 %,Student-Athletes Men 4-Class N,Student-Athletes  Men 4-Class %,Student-Athletes Men GSR N,Student-Athletes Men GSR %,Student-Athletes Women 17-18 N,Student-Athletes Women 17-18 %,Student-Athletes Women 4-Class N,Student-Athletes Women 4-Class %,Student-Athletes Women GSR N,Student-Athletes Women GSR %,Student-Athletes Total 17-18 N,Student-Athletes Total 17-18 %,Student-Athletes Total 4-Class N,Student-Athletes Total 4-Class %,Student-Athletes Total GSR N,Student-Athletes Total GSR %,Source_SA,School_SA,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50
Total,1450,51,5592,54,1676,59,6663,61,3126,55,12255,57,All Students,St. John's University (New York),24,63,98,49,80,83,21,67,91,70,89,96,45,64,189,59,169,89,Student-Athletes,St. John's University (New York),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,849,94,3364,94,872,97,3280,97,1721,96,6644,95,All Students,Stanford University,66,94,229,92,221,98,62,98,231,97,233,97,128,96,460,95,454,98,Student-Athletes,Stanford University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,893,38,3094,38,1375,46,4874,47,2268,43,7968,44,All Students,Stephen F. Austin State University,40,35,147,46,193,53,32,72,120,63,118,75,72,51,267,54,311,62,Student-Athletes,Stephen F. Austin State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,235,60,942,61,322,67,1326,65,557,64,2268,63,All Students,Stetson University,19,95,83,67,82,84,33,88,109,80,109,95,52,90,192,74,191,91,Student-Athletes,Stetson University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1442,62,5171,62,1317,71,4916,72,2759,66,10087,67,All Students,Stony Brook University,30,50,132,49,147,73,42,79,127,74,126,85,72,67,259,61,273,79,Student-Athletes,Stony Brook University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1336,79,5246,79,1756,83,6796,83,3092,81,12042,81,All Students,Syracuse University,36,61,135,67,130,80,49,78,183,78,164,95,85,71,318,73,294,88,Student-Athletes,Syracuse University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1907,64,6666,64,2478,68,8333,68,4385,66,14999,66,All Students,Temple University,38,66,137,58,157,80,36,69,140,75,143,84,74,68,277,66,300,82,Student-Athletes,Temple University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,442,24,1779,27,776,32,3061,35,1218,29,4840,32,All Students,Tennessee State University,24,38,83,40,113,46,22,45,66,52,69,81,46,41,149,45,182,59,Student-Athletes,Tennessee State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,919,49,3432,48,730,53,2617,54,1649,51,6049,50,All Students,Tennessee Technological University,30,50,128,57,134,75,33,64,112,64,91,84,63,57,240,60,225,79,Student-Athletes,Tennessee Technological University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,630,37,1968,37,882,43,3014,42,1512,40,4982,40,All Students,Texas A&M University-Corpus Christi,14,57,43,40,72,72,24,33,74,45,84,82,38,42,117,43,156,78,Student-Athletes,Texas A&M University-Corpus Christi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3951,75,14150,76,4074,83,14726,83,8025,79,28876,80,All Students,Texas A&M University College Station,43,56,182,57,212,69,42,74,173,79,181,85,85,65,355,67,393,76,Student-Athletes,Texas A&M University College Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,674,73,2580,73,965,78,3915,76,1639,76,6495,75,All Students,Texas Christian University,50,66,156,69,167,84,37,78,122,70,107,92,87,71,278,69,274,87,Student-Athletes,Texas Christian University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,522,14,2930,10,617,18,3444,14,1139,16,6374,12,All Students,Texas Southern University,15,40,137,40,182,47,13,69,110,41,120,48,28,54,247,40,302,48,Student-Athletes,Texas Southern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1337,50,5000,50,1900,62,7048,60,3237,57,12048,56,All Students,Texas State University,33,48,146,46,162,68,26,65,132,62,139,81,59,56,278,54,301,74,Student-Athletes,Texas State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2374,56,8245,58,2065,63,7632,65,4439,59,15877,61,All Students,Texas Tech University,39,64,160,54,171,74,28,50,113,63,107,86,67,58,273,58,278,79,Student-Athletes,Texas Tech University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,572,69,2139,69,38,71,145,72,610,69,2284,69,All Students,The Citadel,43,63,165,62,126,84,18,72,61,75,50,90,61,66,226,66,176,86,Student-Athletes,The Citadel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3116,82,12338,79,3039,85,12039,83,6155,83,24377,81,All Students,The Ohio State University,97,70,308,69,299,84,68,79,224,83,225,95,165,74,532,75,524,89,Student-Athletes,The Ohio State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1406,53,5239,51,1520,55,5909,56,2926,54,11148,54,All Students,The University of North Carolina at Charlotte,32,75,105,66,97,92,36,89,117,75,114,92,68,82,222,71,211,92,Student-Athletes,The University of North Carolina at Charlotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,742,50,2787,47,1689,58,6602,57,2431,55,9389,54,All Students,The University of North Carolina at Greensboro,30,53,118,51,89,74,22,73,91,74,90,89,52,62,209,61,179,82,Student-Athletes,The University of North Carolina at Greensboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,528,40,2148,42,815,48,3540,50,1343,45,5688,47,All Students,The University of Southern Mississippi,33,55,136,50,163,73,27,63,120,62,117,83,60,58,256,55,280,77,Student-Athletes,The University of Southern Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1127,33,4548,32,1400,44,5583,45,2527,39,10131,39,All Students,The University of Texas Rio Grande Valley,12,50,54,46,79,72,13,46,64,59,72,78,25,48,118,53,151,75,Student-Athletes,The University of Texas Rio Grande Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,351,69,1392,64,300,69,1217,70,651,69,2609,67,All Students,The University of Tulsa,28,57,121,60,137,77,33,70,143,76,140,95,61,64,264,69,277,86,Student-Athletes,The University of Tulsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,979,61,3691,59,1670,68,6279,67,2649,65,9970,64,All Students,Towson University,40,48,139,65,132,71,53,74,185,76,176,89,93,62,324,71,308,81,Student-Athletes,Towson University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,723,31,2598,28,944,39,3351,40,1667,36,5949,35,All Students,Troy University,28,68,134,49,201,69,30,63,123,60,113,84,58,66,257,54,314,74,Student-Athletes,Troy University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,604,73,1833,70,718,79,1973,76,1322,76,3806,73,All Students,Tulane University,29,66,103,62,85,88,11,82,45,62,36,94,40,70,148,62,121,90,Student-Athletes,Tulane University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,945,88,4043,83,241,82,940,80,1186,86,4983,82,All Students,U.S. Air Force Academy,0,-,0,-,397,89,0,-,0,-,162,91,0,-,0,-,559,90,Student-Athletes,U.S. Air Force Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1057,84,4129,84,214,83,745,83,1271,84,4874,84,All Students,U.S. Military Academy,0,-,0,-,813,89,0,-,0,-,237,92,0,-,0,-,1050,90,Student-Athletes,U.S. Military Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,921,88,3743,88,240,87,957,89,1161,88,4700,88,All Students,U.S. Naval Academy,0,-,0,-,629,88,0,-,0,-,208,94,0,-,0,-,837,89,Student-Athletes,U.S. Naval Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1626,68,6646,66,1376,77,5959,73,3002,72,12605,69,All Students,University at Buffalo the State University of New York,33,58,166,64,198,69,35,77,158,75,148,86,68,68,324,69,346,77,Student-Athletes,University at Buffalo the State University of New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2836,59,10760,58,3395,64,12610,64,6231,61,23370,61,All Students,University of Arizona,43,37,174,45,168,64,29,66,139,73,133,88,72,49,313,58,301,75,Student-Athletes,University of Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1452,58,5364,56,1425,63,5318,63,2877,60,10682,59,All Students,University of Arkansas Fayetteville,47,51,181,38,145,65,40,63,154,69,148,86,87,56,335,53,293,76,Student-Athletes,University of Arkansas Fayetteville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,375,24,1413,21,411,28,1465,30,786,26,2878,25,All Students,University of Arkansas Pine Bluff,32,59,90,51,100,59,19,47,72,42,70,67,51,55,162,47,170,62,Student-Athletes,University of Arkansas Pine Bluff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,341,20,1250,20,471,23,1679,22,812,21,2929,21,All Students,University of Arkansas at Little Rock,12,33,59,46,86,78,25,48,97,51,77,79,37,43,156,49,163,79,Student-Athletes,University of Arkansas at Little Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1917,89,7388,89,2309,93,8902,92,4226,91,16290,91,All Students,University of California Berkeley,62,69,220,57,227,69,63,86,265,79,254,90,125,78,485,69,481,80,Student-Athletes,University of California Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2034,79,8066,79,2909,83,11018,83,4943,81,19084,82,All Students,University of California Davis,64,70,243,69,187,82,65,86,245,87,181,93,129,78,488,78,368,88,Student-Athletes,University of California Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2137,84,8164,83,2780,87,9489,87,4917,86,17653,85,All Students,University of California Irvine,34,56,134,63,123,81,27,89,110,80,97,91,61,70,244,71,220,85,Student-Athletes,University of California Irvine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2028,89,7356,88,2534,92,10156,92,4562,90,17512,90,All Students,University of California Los Angeles,51,59,236,67,217,84,64,83,206,82,206,91,115,72,442,74,423,87,Student-Athletes,University of California Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1751,62,6132,63,1950,70,6719,70,3701,66,12851,67,All Students,University of California Riverside,20,45,92,42,102,54,19,74,106,68,109,80,39,59,198,56,211,67,Student-Athletes,University of California Riverside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1839,79,6781,77,2482,82,9305,82,4321,81,16086,80,All Students,University of California Santa Barbara,42,57,153,59,154,79,45,76,144,76,140,91,87,67,297,67,294,85,Student-Athletes,University of California Santa Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,709,37,3677,35,1054,45,5083,46,1763,42,8760,41,All Students,University of Central Arkansas,45,40,146,42,230,66,29,52,130,49,126,83,74,45,276,46,356,72,Student-Athletes,University of Central Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3040,62,11534,60,3310,72,12956,69,6350,67,24490,65,All Students,University of Central Florida,41,44,172,52,136,92,34,56,137,64,121,98,75,49,309,57,257,95,Student-Athletes,University of Central Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1813,63,6549,60,1712,64,6208,60,3525,64,12757,60,All Students,University of Cincinnati,59,58,209,57,192,72,43,72,152,74,145,87,102,64,361,64,337,79,Student-Athletes,University of Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2806,67,11007,66,2734,72,10270,71,5540,70,21277,68,All Students,University of Colorado Boulder,34,68,117,60,111,77,24,67,81,72,78,91,58,67,198,65,189,83,Student-Athletes,University of Colorado Boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1469,81,5917,80,1660,85,6810,84,3129,83,12727,82,All Students,University of Connecticut,46,67,193,54,208,74,41,80,166,81,151,93,87,74,359,66,359,82,Student-Athletes,University of Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,870,75,3609,75,893,78,3666,78,1763,77,7275,76,All Students,University of Dayton,19,63,69,67,172,94,27,81,115,80,114,98,46,74,184,75,286,95,Student-Athletes,University of Dayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1441,79,5612,76,2129,84,8173,82,3570,82,13785,79,All Students,University of Delaware,63,70,198,71,205,79,67,81,221,80,208,92,130,75,419,76,413,85,Student-Athletes,University of Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,511,77,2048,75,619,78,2430,78,1130,78,4478,77,All Students,University of Denver,34,62,116,69,107,86,31,81,131,83,124,97,65,71,247,77,231,92,Student-Athletes,University of Denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,213,63,828,58,315,53,1133,54,528,57,1961,56,All Students,University of Detroit Mercy,14,79,50,58,63,75,23,61,92,71,86,85,37,68,142,66,149,81,Student-Athletes,University of Detroit Mercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,276,57,1046,61,375,68,1552,68,651,63,2598,65,All Students,University of Evansville,22,68,79,58,64,81,19,74,89,76,77,97,41,71,168,68,141,90,Student-Athletes,University of Evansville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2648,85,11591,82,3792,88,15361,87,6440,87,26952,85,All Students,University of Florida,59,53,218,53,192,78,34,56,156,69,146,89,93,54,374,59,338,83,Student-Athletes,University of Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1733,81,7249,81,2942,84,11639,84,4675,83,18888,83,All Students,University of Georgia,42,55,193,60,198,75,70,80,212,74,198,92,112,71,405,67,396,84,Student-Athletes,University of Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,556,54,2263,53,581,48,2172,56,1137,51,4435,54,All Students,University of Hartford,17,65,58,50,63,78,16,69,80,79,72,94,33,67,138,67,135,87,Student-Athletes,University of Hartford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,781,54,3265,51,946,58,3981,56,1727,57,7246,54,All Students,University of Hawaii Manoa,24,46,109,51,148,70,31,58,104,63,113,84,55,53,213,57,261,76,Student-Athletes,University of Hawaii Manoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1611,42,6120,43,1681,53,6682,50,3292,48,12802,46,All Students,University of Houston,38,39,138,45,156,57,39,59,124,50,125,71,77,49,262,47,281,63,Student-Athletes,University of Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,851,49,3381,51,764,59,3091,57,1615,54,6472,54,All Students,University of Idaho,17,47,94,47,131,66,28,68,111,70,110,93,45,60,205,60,241,78,Student-Athletes,University of Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1459,56,5143,55,1813,57,6389,56,3272,57,11532,56,All Students,University of Illinois Chicago,30,63,97,61,111,76,32,72,87,77,84,93,62,68,184,68,195,83,Student-Athletes,University of Illinois Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3614,82,14863,81,3291,86,13861,86,6905,84,28724,84,All Students,University of Illinois Urbana-Champaign,41,59,181,67,179,81,34,85,144,86,141,96,75,71,325,76,320,88,Student-Athletes,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1931,70,7313,70,2322,70,8996,70,4253,70,16309,70,All Students,University of Iowa,59,69,219,68,200,84,61,85,214,83,206,95,120,78,433,75,406,89,Student-Athletes,University of Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1944,59,7969,59,2084,64,8439,65,4028,62,16408,62,All Students,University of Kansas,29,79,125,62,129,78,50,84,186,78,185,89,79,82,311,71,314,85,Student-Athletes,University of Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1805,57,7284,55,1981,63,8244,62,3786,60,15528,59,All Students,University of Kentucky,57,53,225,50,214,71,41,76,158,70,134,96,98,62,383,58,348,81,Student-Athletes,University of Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,501,38,1967,33,892,42,3321,36,1393,40,5288,35,All Students,University of Louisiana Monroe,36,61,131,50,177,56,37,62,112,61,110,75,73,62,243,55,287,63,Student-Athletes,University of Louisiana Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1137,40,4647,38,1554,48,6205,46,2691,45,10852,43,All Students,University of Louisiana at Lafayette,36,64,142,58,168,70,28,71,122,72,121,84,64,67,264,64,289,76,Student-Athletes,University of Louisiana at Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1211,53,4578,50,1312,54,4877,53,2523,53,9455,51,All Students,University of Louisville,54,57,199,50,203,69,66,71,183,73,171,92,120,65,382,61,374,80,Student-Athletes,University of Louisville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,953,54,3576,56,863,57,3357,61,1816,56,6933,58,All Students,University of Maine,38,53,158,58,126,87,34,68,127,72,98,95,72,60,285,65,224,90,Student-Athletes,University of Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,768,60,3234,55,655,70,2425,66,1423,65,5659,60,All Students,University of Maryland Baltimore County,33,52,152,57,154,74,45,73,163,72,142,84,78,64,315,65,296,79,Student-Athletes,University of Maryland Baltimore County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2201,81,8479,79,2028,87,8060,86,4229,84,16539,82,All Students,University of Maryland College Park,76,62,254,64,212,80,59,71,205,79,164,95,135,66,459,70,376,86,Student-Athletes,University of Maryland College Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,315,24,1451,26,396,52,2297,37,711,40,3748,33,All Students,University of Maryland Eastern Shore,9,11,40,28,31,84,13,46,49,55,52,90,22,32,89,43,83,88,Student-Athletes,University of Maryland Eastern Shore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1977,72,8198,68,2288,74,8817,72,4265,73,17015,70,All Students,University of Massachusetts Amherst,52,50,187,56,173,72,51,76,149,79,134,94,103,63,336,66,307,82,Student-Athletes,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,796,50,2891,48,424,62,1598,60,1220,54,4489,52,All Students,University of Massachusetts Lowell,22,73,128,63,177,68,13,69,99,75,153,90,35,71,227,68,330,78,Student-Athletes,University of Massachusetts Lowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,847,38,3307,37,1160,47,4777,41,2007,43,8084,39,All Students,University of Memphis,45,67,170,61,190,81,36,56,114,57,93,91,81,62,284,59,283,84,Student-Athletes,University of Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,928,79,3877,78,1049,84,4429,82,1977,82,8306,80,All Students,University of Miami (Florida),27,52,121,55,113,87,37,76,121,67,113,96,64,66,242,61,226,92,Student-Athletes,University of Miami (Florida),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2933,88,11559,88,3018,92,11824,92,5951,90,23383,90,All Students,University of Michigan,64,67,247,70,220,82,48,96,202,89,194,95,112,79,449,78,414,88,Student-Athletes,University of Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2329,74,9676,71,2927,76,11834,73,5256,75,21510,72,All Students,University of Minnesota Twin Cities,65,72,255,65,237,81,52,81,197,78,182,94,117,76,452,71,419,87,Student-Athletes,University of Minnesota Twin Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1141,54,4397,56,1293,62,4937,61,2434,58,9334,59,All Students,University of Mississippi,37,32,148,39,135,70,25,64,115,74,102,91,62,45,263,54,237,79,Student-Athletes,University of Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,348,53,1524,46,568,50,2225,48,916,51,3749,47,All Students,University of Missouri-Kansas City,10,60,65,51,70,77,19,58,78,68,93,87,29,59,143,60,163,83,Student-Athletes,University of Missouri-Kansas City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2225,66,8778,67,2672,73,10189,72,4897,70,18967,70,All Students,University of Missouri Columbia,54,59,217,58,203,77,40,85,155,85,157,94,94,70,372,69,360,85,Student-Athletes,University of Missouri Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,749,43,3039,43,888,52,3541,50,1637,48,6580,47,All Students,University of Montana,15,53,100,64,119,70,25,68,105,71,94,88,40,63,205,68,213,78,Student-Athletes,University of Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2153,63,7715,63,2061,71,7096,69,4214,67,14811,66,All Students,University of Nebraska-Lincoln,54,70,205,55,199,77,62,74,173,73,157,92,116,72,378,63,356,83,Student-Athletes,University of Nebraska-Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,762,41,3018,41,834,43,3488,47,1596,42,6506,44,All Students,University of Nebraska at Omaha,35,34,173,48,95,56,25,60,141,64,151,75,60,45,314,55,246,67,Student-Athletes,University of Nebraska at Omaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1181,38,4911,37,1592,47,6428,44,2773,43,11339,41,All Students,University of Nevada Las Vegas,26,27,100,52,139,67,29,76,112,67,126,87,55,53,212,60,265,76,Student-Athletes,University of Nevada Las Vegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1082,45,4144,47,1196,53,4923,54,2278,49,9067,51,All Students,University of Nevada Reno,29,69,105,61,142,75,42,79,156,72,143,85,71,75,261,68,285,80,Student-Athletes,University of Nevada Reno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,986,79,4277,75,1466,81,6124,79,2452,80,10401,77,All Students,University of New Hampshire,36,69,126,69,115,83,42,76,187,76,162,91,78,73,313,73,277,88,Student-Athletes,University of New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1213,44,5140,41,1637,51,6693,49,2850,48,11833,46,All Students,University of New Mexico,29,59,164,49,174,69,31,52,156,64,133,86,60,55,320,57,307,76,Student-Athletes,University of New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,504,31,1838,25,526,33,2140,29,1030,32,3978,28,All Students,University of New Orleans,7,43,42,40,73,52,5,60,48,44,48,48,12,50,90,42,121,50,Student-Athletes,University of New Orleans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,230,54,927,53,341,63,1380,60,571,60,2307,57,All Students,University of North Carolina Asheville,20,55,75,57,70,76,9,78,69,65,66,77,29,62,144,61,136,76,Student-Athletes,University of North Carolina Asheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1539,87,6021,87,2338,92,8983,91,3877,90,15004,89,All Students,University of North Carolina Chapel Hill,62,63,256,62,231,81,52,85,196,85,191,93,114,73,452,72,422,86,Student-Athletes,University of North Carolina Chapel Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,775,67,3156,65,1138,74,4567,71,1913,71,7723,69,All Students,University of North Carolina Wilmington,34,68,109,65,111,76,31,84,124,77,119,91,65,75,233,72,230,83,Student-Athletes,University of North Carolina Wilmington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,949,54,4095,52,883,57,3599,56,1832,55,7694,53,All Students,University of North Dakota,38,55,156,61,164,73,30,80,146,75,157,90,68,66,302,68,321,81,Student-Athletes,University of North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,863,49,3805,45,1185,51,5034,51,2048,50,8839,49,All Students,University of North Florida,15,53,86,58,141,72,25,68,111,64,163,88,40,63,197,61,304,80,Student-Athletes,University of North Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1499,44,5952,44,1996,54,7915,53,3495,50,13867,49,All Students,University of North Texas,35,57,124,57,143,70,33,73,124,74,146,86,68,65,248,66,289,78,Student-Athletes,University of North Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,871,38,3877,39,1328,52,5399,53,2199,46,9276,47,All Students,University of Northern Colorado,30,43,116,46,133,68,33,70,115,66,103,91,63,57,231,56,236,78,Student-Athletes,University of Northern Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,745,63,2707,62,1177,69,4244,70,1922,66,6951,67,All Students,University of Northern Iowa,35,43,148,56,132,68,32,84,131,79,123,97,67,63,279,67,255,82,Student-Athletes,University of Northern Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1041,93,4234,94,948,96,3758,96,1989,95,7992,95,All Students,University of Notre Dame,70,90,240,86,223,98,47,100,165,94,158,100,117,94,405,89,381,99,Student-Athletes,University of Notre Dame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1781,60,6489,62,2043,72,7346,70,3824,66,13835,66,All Students,University of Oklahoma,38,45,173,50,196,72,36,58,120,67,119,92,74,51,293,57,315,80,Student-Athletes,University of Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1666,65,6014,65,1839,68,7116,68,3505,67,13130,67,All Students,University of Oregon,36,53,144,53,148,72,39,77,151,71,144,92,75,65,295,62,292,82,Student-Athletes,University of Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1235,95,4763,95,1107,97,4751,96,2342,96,9514,96,All Students,University of Pennsylvania,0,-,0,-,449,95,0,-,0,-,323,98,0,-,0,-,772,96,Student-Athletes,University of Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1601,77,6089,77,1827,84,6913,81,3428,80,13002,79,All Students,University of Pittsburgh,57,63,185,57,178,70,40,83,136,76,129,91,97,71,321,65,307,79,Student-Athletes,University of Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,299,72,1087,73,505,77,1913,77,804,75,3000,75,All Students,University of Portland,23,70,81,62,68,87,18,89,75,87,67,99,41,78,156,74,135,93,Student-Athletes,University of Portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1275,59,4500,61,1728,67,6034,65,3003,63,10534,63,All Students,University of Rhode Island,37,54,137,58,130,74,30,87,145,72,106,95,67,69,282,66,236,83,Student-Athletes,University of Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,375,84,1491,84,427,86,1606,85,802,85,3097,84,All Students,University of Richmond,28,68,120,74,119,87,36,81,132,72,102,97,64,75,252,73,221,92,Student-Athletes,University of Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,454,74,1744,74,635,76,2753,75,1089,75,4497,75,All Students,University of San Diego,22,32,69,42,168,86,23,78,90,83,90,98,45,56,159,65,258,90,Student-Athletes,University of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,372,64,1294,63,680,72,2692,72,1052,69,3986,69,All Students,University of San Francisco,16,56,69,52,83,71,13,92,70,80,77,87,29,72,139,66,160,79,Student-Athletes,University of San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
