,School,Overall G,Overall W,Overall L,Overall W-L%,Overall,Overall
82,Eastern Washington,32,21,11,0.656,-1.03,-2.99
83,Elon,32,13,19,0.406,-11.43,-5.46
84,Evansville,35,17,18,0.486,-3.69,0.75
85,Fairfield,37,24,13,0.649,-3.17,-6.53
86,FDU,32,15,17,0.469,-14.41,-9.27
87,Florida NCAA,36,24,12,0.667,15.17,8.81
88,Florida A&M,29,6,23,0.207,-15.82,-4.19
89,Florida Atlantic NCAA,34,25,9,0.735,13.26,4.61
90,Florida Gulf Coast,32,14,18,0.438,-6.28,-3.94
91,Florida International,33,11,22,0.333,-8.01,-2.17
92,Florida State,33,17,16,0.515,9.52,9.27
93,Fordham,33,13,20,0.394,-0.46,1.48
94,Fresno State,33,12,21,0.364,-3.29,3.5
95,Furman,33,17,16,0.515,0.21,-1.93
96,Gardner-Webb,33,17,16,0.515,-4.66,-1.73
97,George Mason,32,20,12,0.625,6.36,1.85
98,George Washington,32,15,17,0.469,-1.03,-0.06
99,Georgetown,32,9,23,0.281,0.68,7.72
100,Georgia,37,20,17,0.541,8.63,8.63
101,Georgia Southern,33,9,24,0.273,-8.44,-2.53
102,Georgia State,31,14,17,0.452,-4.59,-2.59
103,Georgia Tech,32,14,18,0.438,4.6,8.82
104,Gonzaga NCAA,35,27,8,0.771,17.93,4.02
105,Grambling NCAA,36,21,15,0.583,-9.63,-5.48
106,Grand Canyon NCAA,35,30,5,0.857,10.45,-0.52
107,Green Bay,32,18,14,0.563,-5.64,-4.07
108,Hampton,33,9,24,0.273,-15.82,-5.29
109,Harvard,27,14,13,0.519,-4.58,-2.08
110,Hawaii,34,20,14,0.588,-0.07,-2.57
111,High Point,36,27,9,0.75,2.15,-4.83
112,Hofstra,33,20,13,0.606,2.31,-1.98
113,Holy Cross,33,10,23,0.303,-17.12,-7.87
114,Houston NCAA,37,32,5,0.865,25.69,9.8
115,Houston Christian,29,6,23,0.207,-19.37,-3.89
116,Howard NCAA,35,18,17,0.514,-8.69,-8.02
117,Idaho,32,11,21,0.344,-11.29,-4.69
118,Idaho State,34,14,20,0.412,-7.49,-5.11
119,Illinois NCAA,38,29,9,0.763,19.56,9.54
120,Illinois State,32,15,17,0.469,-1.38,0.43
121,Illinois-Chicago,33,12,21,0.364,-1.61,1.3
122,Incarnate Word,31,8,23,0.258,-16.4,-7.92
123,Indiana,33,19,14,0.576,7.74,9.74
124,Indiana State,39,32,7,0.821,13.44,2.26
125,Iona,33,16,17,0.485,-5.19,-5.95
126,Iowa,34,19,15,0.559,13,9.26
127,Iowa State NCAA,37,29,8,0.784,22.3,8.51
128,IU Indy,32,6,26,0.188,-21.31,-4.62
129,Jackson State,32,15,17,0.469,-11.5,-7.15
130,Jacksonville,33,16,17,0.485,-9.84,-4.87
131,Jacksonville State,32,14,18,0.438,-3.55,-3.14
132,James Madison NCAA,36,32,4,0.889,8.19,-3.75
133,Kansas NCAA,34,23,11,0.676,16.35,11.32
134,Kansas City,32,16,16,0.5,-5.32,-4.5
135,Kansas State,34,19,15,0.559,11.06,9.97
136,Kennesaw State,31,15,16,0.484,-8.02,-5.84
137,Kent State,34,17,17,0.5,-0.76,-2.54
138,Kentucky NCAA,33,23,10,0.697,16.79,7.46
139,La Salle,33,16,17,0.485,-1.62,0.85
140,Lafayette,32,11,21,0.344,-11.17,-6.01
141,Lamar,33,19,14,0.576,-5.47,-8.28
142,Le Moyne,32,15,17,0.469,-11.07,-9.55
143,Lehigh,32,14,18,0.438,-7.47,-6.6
144,Liberty,32,18,14,0.563,1.58,-1.56
145,Lindenwood,31,9,22,0.29,-18.73,-7.23
146,Lipscomb,32,20,12,0.625,-1.94,-5.04
147,Little Rock,34,21,13,0.618,-3.42,-8.24
148,Long Beach State NCAA,36,21,15,0.583,-1.19,-1.19
149,Long Island University,29,7,22,0.241,-17.86,-7.58
150,Longwood NCAA,35,21,14,0.6,-2.04,-4.76
151,Louisiana,33,19,14,0.576,-0.6,-2.67
152,Louisiana State,33,17,16,0.515,8.14,6.75
153,Louisiana Tech,32,22,10,0.688,4.83,-1.69
154,Louisiana-Monroe,30,11,19,0.367,-10.05,-2.44
155,Louisville,32,8,24,0.25,0.45,7.51
156,Loyola (IL),33,23,10,0.697,6.57,2.42
157,Loyola (MD),32,7,25,0.219,-16.17,-6.94
158,Loyola Marymount,31,12,19,0.387,-0.06,0.31
159,Maine,32,15,17,0.469,-6.39,-4.87
160,Manhattan,30,7,23,0.233,-15.28,-4.86
161,Marist,31,18,13,0.581,-5.64,-8.09
162,Marquette NCAA,37,27,10,0.73,19.27,11.02
163,Marshall,33,13,20,0.394,-5.42,-1.39
164,Maryland,33,16,17,0.485,10.6,7.44
165,Maryland-Baltimore County,32,11,21,0.344,-8.67,-5.93
166,Maryland-Eastern Shore,29,9,20,0.31,-17.33,-6.33
167,Massachusetts,31,20,11,0.645,7.59,0.88
168,Massachusetts-Lowell,32,22,10,0.688,-1.28,-6.07
169,McNeese State NCAA,34,30,4,0.882,6.42,-6.81
170,Memphis,32,22,10,0.688,9,4.25
171,Mercer,33,16,17,0.485,-4.65,-2.55
172,Merrimack,33,21,12,0.636,-5.24,-8.43
173,Miami (FL),32,15,17,0.469,9.59,7.46
174,Miami (OH),32,15,17,0.469,-6.45,-4.08
175,Michigan,32,8,24,0.25,5.28,11.34
176,Michigan State NCAA,35,20,15,0.571,17.72,10.89
177,Middle Tennessee,33,14,19,0.424,-7.45,-0.52
178,Milwaukee,35,20,15,0.571,-5.01,-4.47
179,Minnesota,34,19,15,0.559,9.51,6.4
180,Mississippi,32,20,12,0.625,8.3,7.27
181,Mississippi State NCAA,35,21,14,0.6,14.19,9.16
182,Mississippi Valley State,31,1,30,0.032,-26.17,-3.91
183,Missouri,32,8,24,0.25,3.27,7.3
184,Missouri State,33,17,16,0.515,0.98,1.01
185,Monmouth,33,18,15,0.545,-3.17,-2.98
186,Montana,36,24,12,0.667,-1.41,-4.11
187,Montana State NCAA,35,17,18,0.486,-5.34,-4.46
188,Morehead State NCAA,35,26,9,0.743,0.51,-5.52
189,Morgan State,31,11,20,0.355,-16.07,-5.9
190,Mount St. Mary's,32,13,19,0.406,-6.54,-7.45
191,Murray State,32,12,20,0.375,0.36,1.59
192,Navy,31,13,18,0.419,-11.7,-9.54
193,NC State NCAA,41,26,15,0.634,12.81,8.93
194,Nebraska NCAA,34,23,11,0.676,14.36,7.53
195,Nevada NCAA,34,26,8,0.765,12.85,4.58
196,Nevada-Las Vegas,34,21,13,0.618,8.38,6.25
197,New Hampshire,31,16,15,0.516,-6.15,-3.61
198,New Mexico NCAA,36,26,10,0.722,15.04,5.38
199,New Mexico State,32,13,19,0.406,-8.62,0.74
200,New Orleans,33,10,23,0.303,-16.8,-5.9
201,Niagara,32,16,16,0.5,-8.4,-7.21
202,Nicholls State,34,20,14,0.588,-7.14,-5.37
203,NJIT,28,7,21,0.25,-14.65,-4.46
204,Norfolk State,35,24,11,0.686,-5.76,-7.76
205,North Alabama,32,15,17,0.469,-7.17,-5
206,North Carolina NCAA,37,29,8,0.784,21.36,9.9
207,North Carolina A&T,32,7,25,0.219,-16.31,-3.94
208,North Carolina Central,31,18,13,0.581,-7.88,-8.84
209,North Dakota,32,18,14,0.563,-6.24,-6.1
210,North Dakota State,32,15,17,0.469,-7.57,-3.15
211,North Florida,32,16,16,0.5,-6.95,-4.84
212,North Texas,34,19,15,0.559,8.41,4.28
213,Northeastern,32,12,20,0.375,-6.09,-3.15
214,Northern Arizona,33,14,19,0.424,-12.17,-4.17
215,Northern Colorado,33,19,14,0.576,-4.44,-5.25
216,Northern Illinois,31,11,20,0.355,-9.16,-1.37
217,Northern Iowa,33,19,14,0.576,3.83,2.86
218,Northern Kentucky,33,18,15,0.545,-3.66,-3.73
219,Northwestern NCAA,34,22,12,0.647,12.77,8.5
220,Northwestern State,32,9,23,0.281,-14.42,-6.32
221,Notre Dame,33,13,20,0.394,4.94,8.06
222,Oakland NCAA,36,24,12,0.667,2.02,-1.24
223,Ohio,33,20,13,0.606,0.48,-4.58
224,Ohio State,36,22,14,0.611,13.64,8.37
225,Oklahoma,32,20,12,0.625,14.66,8.07
226,Oklahoma State,32,12,20,0.375,6.25,7.97
227,Old Dominion,32,7,25,0.219,-8.35,-1.58
228,Omaha,33,15,18,0.455,-7.38,-5.07
229,Oral Roberts,31,12,19,0.387,-7.43,-2.6
230,Oregon NCAA,36,24,12,0.667,12.22,8.91
231,Oregon State,32,13,19,0.406,3.28,8.38
232,Pacific,32,6,26,0.188,-17.42,-0.15
233,Penn State,33,16,17,0.485,9.22,7.52
234,Pennsylvania,29,11,18,0.379,-3.33,0.26
235,Pepperdine,33,13,20,0.394,-2.14,0.7
236,Pittsburgh,33,22,11,0.667,14.89,6.92
237,Portland,33,12,21,0.364,-8.2,1.54
238,Portland State,32,17,15,0.531,-7.15,-4.94
239,Prairie View,31,10,21,0.323,-15.41,-6.92
240,Presbyterian,33,14,19,0.424,-8.13,-5.57
241,Princeton,29,24,5,0.828,6.55,-1.6
242,Providence,35,21,14,0.6,12.56,8.93
243,Purdue NCAA,39,34,5,0.872,24.93,11.6
244,Purdue Fort Wayne,36,23,13,0.639,-0.74,-6.09
245,Queens (NC),33,14,19,0.424,-8.75,-3.49
246,Quinnipiac,34,24,10,0.706,-3.08,-7.32
247,Radford,33,16,17,0.485,-5.66,-3.47
248,Rhode Island,32,12,20,0.375,-2.26,2.87
249,Rice,32,11,21,0.344,-3.22,1.97
250,Richmond,33,23,10,0.697,7.67,2.09
251,Rider,32,15,17,0.469,-5.73,-4.28
252,Robert Morris,32,10,22,0.313,-9.57,-4.31
253,Rutgers,32,15,17,0.469,7.41,8.57
254,Sacramento State,34,10,24,0.294,-10.87,-3.71
255,Sacred Heart,32,16,16,0.5,-9.91,-9.45
256,Saint Francis (PA),30,8,22,0.267,-18.6,-8.14
257,Saint Joseph's,35,21,14,0.6,6.59,1.67
258,Saint Louis,33,13,20,0.394,-1.57,4.15
259,Saint Mary's (CA) NCAA,34,26,8,0.765,16.31,3.46
260,Saint Peter's NCAA,33,19,14,0.576,-4.58,-5.33
261,Sam Houston,33,21,12,0.636,-0.37,-1.72
262,Samford NCAA,35,29,6,0.829,6.32,-3.23
263,San Diego,33,18,15,0.545,-5.31,0.33
264,San Diego State NCAA,37,26,11,0.703,14.68,8.37
265,San Francisco,34,23,11,0.676,9.68,0.23
266,San Jose State,32,9,23,0.281,-3.82,3.28
267,Santa Clara,33,20,13,0.606,5.39,1.73
268,Seattle,37,23,14,0.622,4.03,-1.64
269,Seton Hall,37,25,12,0.676,12.67,8.8
270,Siena,32,4,28,0.125,-19.2,-5.2
271,South Alabama,32,16,16,0.5,-5.92,-3.37
272,South Carolina NCAA,34,26,8,0.765,10.98,6.48
273,South Carolina State,32,14,18,0.438,-11.85,-6.18
274,South Carolina Upstate,30,10,20,0.333,-9.36,-3.02
275,South Dakota,32,12,20,0.375,-12.55,-5.41
276,South Dakota State NCAA,35,22,13,0.629,0.52,-2.7
277,South Florida,33,25,8,0.758,7.37,0.97
278,Southeast Missouri State,31,9,22,0.29,-18.25,-6.55
279,Southeastern Louisiana,32,15,17,0.469,-11.31,-6.14
280,Southern,32,18,14,0.563,-8.74,-6.09
281,Southern California,33,15,18,0.455,9.36,9.54
282,Southern Illinois,32,19,13,0.594,4.1,0.52
283,SIU Edwardsville,33,17,16,0.515,-9.08,-7.54
284,Southern Indiana,32,8,24,0.25,-13.63,-5.59
285,Southern Methodist,33,20,13,0.606,10.22,2.56
286,Southern Mississippi,32,16,16,0.5,-5.93,-2.93
287,Southern Utah,31,10,21,0.323,-5.72,-1.17
288,St. Bonaventure,33,20,13,0.606,6.77,1.95
289,St. John's (NY),33,20,13,0.606,16.49,9.58
290,St. Thomas,33,20,13,0.606,-0.92,-5.72
291,Stanford,32,14,18,0.438,7.35,7.48
292,Stephen F. Austin,33,18,15,0.545,-0.95,-1.76
293,Stetson NCAA,35,22,13,0.629,-5.09,-3.24
294,Stonehill,31,4,27,0.129,-20.1,-6.1
295,Stony Brook,35,20,15,0.571,-2.59,-2.62
296,Syracuse,32,20,12,0.625,8.53,9.4
297,Tarleton State,35,25,10,0.714,1.4,-0.97
298,TCU NCAA,34,21,13,0.618,14.62,7.32
299,Temple,36,16,20,0.444,-1.26,1.68
300,Tennessee NCAA,36,27,9,0.75,21.81,10.42
301,Tennessee State,33,18,15,0.545,-9.64,-7.64
302,Tennessee Tech,31,10,21,0.323,-15.04,-6.29
303,Tennessee-Martin,32,21,11,0.656,-5.57,-7.25
304,Texas NCAA,34,21,13,0.618,15.91,9.41
305,Texas A&M NCAA,36,21,15,0.583,13.35,9.32
306,Texas A&M-Corpus Christi,33,21,12,0.636,-4.45,-7.24
307,Texas Southern,33,16,17,0.485,-9.09,-7.03
308,Texas State,35,17,18,0.486,-3.71,-0.74
309,Texas Tech NCAA,34,23,11,0.676,14.96,9.28
310,Texas-Rio Grande Valley,31,6,25,0.194,-13.39,-0.9
311,The Citadel,32,11,21,0.344,-6.53,-2.91
312,Toledo,32,20,12,0.625,1.78,-2.09
313,Towson,34,20,14,0.588,0.19,-2.27
314,Troy,32,20,12,0.625,1.24,-3.17
315,Tulane,31,14,17,0.452,3.65,2.68
316,Tulsa,31,16,15,0.516,-1.2,-1
317,UAB NCAA,35,23,12,0.657,5.14,3.73
318,UC Davis,33,20,13,0.606,-1.33,-2.85
319,UC Irvine,34,24,10,0.706,6.89,-0.93
320,UC Riverside,34,16,18,0.471,-4.26,-1.23
321,UC San Diego,33,21,12,0.636,2.04,-2.8
322,UC Santa Barbara,31,16,15,0.516,-3.19,-3.01
323,UCF,33,17,16,0.515,11.92,8.17
324,UCLA,33,16,17,0.485,7.5,7.84
325,UNC Asheville,34,22,12,0.647,-1.92,-2.99
326,UNC Greensboro,32,21,11,0.656,-0.27,-2.9
327,UNC Wilmington,31,21,10,0.677,1.21,-2.9
328,UT Arlington,34,20,14,0.588,2.38,0.69
329,Utah,37,22,15,0.595,15,9.41
330,Utah State NCAA,35,28,7,0.8,11.56,5.29
331,Utah Tech,31,11,20,0.355,-8.08,-1.18
332,Utah Valley,32,16,16,0.5,-1.33,-0.03
333,UTEP,34,18,16,0.529,-1.49,-1.3
334,UTSA,32,11,21,0.344,-5.26,-0.71
335,Valparaiso,32,7,25,0.219,-8.25,1.17
336,Vanderbilt,32,9,23,0.281,0.19,8.16
337,Vermont NCAA,35,28,7,0.8,2.78,-3.31
338,Villanova,34,18,16,0.529,14.44,9.82
339,Virginia NCAA,34,23,11,0.676,10.45,7.31
340,Virginia Commonwealth,38,24,14,0.632,8.7,4.41
341,VMI,32,4,28,0.125,-20.65,-2.44
342,Virginia Tech,34,19,15,0.559,11.91,7.97
343,Wagner NCAA,33,17,16,0.515,-10.64,-8.58
344,Wake Forest,35,21,14,0.6,14.94,7.52
345,Washington,32,17,15,0.531,11.85,8.38
346,Washington State NCAA,35,25,10,0.714,14.02,7.19
347,Weber State,32,20,12,0.625,-0.49,-4.15
348,West Virginia,32,9,23,0.281,3.73,10.76
349,Western Carolina,32,22,10,0.688,1.96,-3.35
350,Western Illinois,33,21,12,0.636,-8.75,-7.37
351,Western Kentucky NCAA,34,22,12,0.647,1.19,-2.91
352,Western Michigan,32,12,20,0.375,-9.3,-3.79
353,Wichita State,34,15,19,0.441,2.02,3.2
354,William & Mary,33,10,23,0.303,-11.33,-5.55
355,Winthrop,32,17,15,0.531,-1.97,-3.42
356,Wisconsin NCAA,36,22,14,0.611,16.01,11.35
357,Wofford,32,17,15,0.531,-3.87,-1.6
358,Wright State,32,18,14,0.563,-0.22,-3.62
359,Wyoming,32,15,17,0.469,0.54,4.57
360,Xavier,34,16,18,0.471,12.23,11.03
361,Yale NCAA,33,23,10,0.697,4.63,0.41
362,Youngstown State,32,22,10,0.688,0.97,-5.11
