Race,Men  Basketball,Men  Baseball,Men  CC/Track,Men  Football,Men  Other,School,Sport Category
Hispanic,0,3,3,7,0,Washington State University,Men
Nat. Haw./PI,0,0,0,11,0,Washington State University,Men
US N-R,4,3,6,3,1,Washington State University,Men
Two or More,3,0,7,13,1,Washington State University,Men
Unknown,0,0,0,3,0,Washington State University,Men
White,2,20,13,28,6,Washington State University,Men
Total,13,28,31,106,9,Washington State University,Men
Am. Ind./AN,0,0,1,1,0,Weber State University,Men
Asian,0,0,0,1,0,Weber State University,Men
Black,5,0,4,27,0,Weber State University,Men
Hispanic,0,0,1,2,0,Weber State University,Men
Nat. Haw./PI,0,0,0,12,0,Weber State University,Men
US N-R,7,0,0,3,11,Weber State University,Men
Two or More,1,0,3,11,1,Weber State University,Men
Unknown,0,0,0,0,0,Weber State University,Men
White,0,0,34,27,6,Weber State University,Men
Total,13,0,43,84,18,Weber State University,Men
Am. Ind./AN,0,0,0,0,0,West Virginia University,Men
Asian,0,0,0,0,0,West Virginia University,Men
Black,4,1,0,38,0,West Virginia University,Men
Hispanic,0,2,0,0,0,West Virginia University,Men
Nat. Haw./PI,0,0,0,0,0,West Virginia University,Men
US N-R,2,1,0,4,13,West Virginia University,Men
Two or More,2,4,0,6,5,West Virginia University,Men
Unknown,0,1,0,0,3,West Virginia University,Men
White,0,20,0,19,52,West Virginia University,Men
Total,8,29,0,67,73,West Virginia University,Men
Am. Ind./AN,0,0,1,0,0,Western Carolina University,Men
Asian,0,0,0,0,0,Western Carolina University,Men
Black,10,1,11,62,0,Western Carolina University,Men
Hispanic,0,0,1,3,0,Western Carolina University,Men
Nat. Haw./PI,0,0,0,0,0,Western Carolina University,Men
US N-R,1,0,1,0,4,Western Carolina University,Men
Two or More,0,1,2,3,0,Western Carolina University,Men
Unknown,0,0,0,0,0,Western Carolina University,Men
White,2,33,16,13,5,Western Carolina University,Men
Total,13,35,32,81,9,Western Carolina University,Men
Am. Ind./AN,0,0,0,0,0,Western Illinois University,Men
Asian,0,0,0,1,0,Western Illinois University,Men
Black,8,1,2,28,0,Western Illinois University,Men
Hispanic,1,2,0,5,2,Western Illinois University,Men
Nat. Haw./PI,0,0,0,1,0,Western Illinois University,Men
US N-R,0,1,2,2,11,Western Illinois University,Men
Two or More,1,1,2,6,0,Western Illinois University,Men
Unknown,1,1,1,1,1,Western Illinois University,Men
White,0,13,5,21,17,Western Illinois University,Men
Total,11,19,12,65,31,Western Illinois University,Men
Am. Ind./AN,0,0,1,0,0,Western Kentucky University,Men
Asian,0,0,0,0,0,Western Kentucky University,Men
Black,6,2,4,58,0,Western Kentucky University,Men
Hispanic,0,3,0,3,0,Western Kentucky University,Men
Nat. Haw./PI,0,1,1,0,0,Western Kentucky University,Men
US N-R,3,2,1,1,1,Western Kentucky University,Men
Two or More,2,1,1,4,0,Western Kentucky University,Men
Unknown,1,1,0,1,0,Western Kentucky University,Men
White,1,21,11,21,8,Western Kentucky University,Men
Total,13,31,19,88,9,Western Kentucky University,Men
Am. Ind./AN,0,0,0,0,0,Western Michigan University,Men
Asian,0,0,0,0,1,Western Michigan University,Men
Black,7,1,0,50,6,Western Michigan University,Men
Hispanic,0,0,0,0,2,Western Michigan University,Men
Nat. Haw./PI,0,0,0,0,0,Western Michigan University,Men
US N-R,2,0,0,0,6,Western Michigan University,Men
Two or More,0,1,0,10,4,Western Michigan University,Men
Unknown,0,0,0,0,0,Western Michigan University,Men
White,4,26,0,36,42,Western Michigan University,Men
Total,13,28,0,96,61,Western Michigan University,Men
Am. Ind./AN,0,0,0,0,0,Wichita State University,Men
Asian,0,0,0,0,0,Wichita State University,Men
Black,0,0,3,0,0,Wichita State University,Men
Hispanic,0,2,0,0,0,Wichita State University,Men
Nat. Haw./PI,0,0,0,0,0,Wichita State University,Men
US N-R,0,0,0,0,0,Wichita State University,Men
Two or More,0,0,1,0,0,Wichita State University,Men
Unknown,2,1,0,0,0,Wichita State University,Men
White,0,11,6,0,2,Wichita State University,Men
Total,2,14,10,0,2,Wichita State University,Men
Am. Ind./AN,0,0,0,0,0,William & Mary,Men
Asian,0,0,0,0,0,William & Mary,Men
Black,8,0,1,29,1,William & Mary,Men
Hispanic,0,0,2,0,2,William & Mary,Men
Nat. Haw./PI,0,0,0,0,0,William & Mary,Men
US N-R,1,0,0,1,0,William & Mary,Men
Two or More,1,1,3,3,6,William & Mary,Men
Unknown,0,0,0,0,0,William & Mary,Men
White,3,25,18,28,25,William & Mary,Men
Total,13,26,24,61,34,William & Mary,Men
Am. Ind./AN,0,0,0,0,0,Winthrop University,Men
Asian,0,0,0,0,0,Winthrop University,Men
Black,8,1,16,0,2,Winthrop University,Men
Hispanic,0,4,2,0,3,Winthrop University,Men
Nat. Haw./PI,0,0,0,0,0,Winthrop University,Men
US N-R,2,1,0,0,12,Winthrop University,Men
Two or More,1,0,4,0,1,Winthrop University,Men
Unknown,0,0,0,0,0,Winthrop University,Men
White,2,21,9,0,16,Winthrop University,Men
Total,13,27,31,0,34,Winthrop University,Men
Am. Ind./AN,0,1,0,0,0,Wofford College,Men
Asian,0,0,0,1,0,Wofford College,Men
Black,4,2,3,41,1,Wofford College,Men
Hispanic,1,1,1,6,2,Wofford College,Men
Nat. Haw./PI,0,0,0,0,0,Wofford College,Men
US N-R,2,0,2,2,13,Wofford College,Men
Two or More,0,0,1,7,1,Wofford College,Men
Unknown,0,0,0,0,0,Wofford College,Men
White,5,15,1,24,12,Wofford College,Men
Total,12,19,8,81,29,Wofford College,Men
Am. Ind./AN,0,0,0,0,0,Wright State University,Men
Asian,0,0,0,0,0,Wright State University,Men
Black,4,0,2,0,4,Wright State University,Men
Hispanic,0,0,0,0,1,Wright State University,Men
Nat. Haw./PI,0,0,0,0,0,Wright State University,Men
US N-R,0,0,0,0,13,Wright State University,Men
Two or More,3,2,3,0,2,Wright State University,Men
Unknown,0,0,0,0,0,Wright State University,Men
White,8,36,30,0,28,Wright State University,Men
Total,15,38,35,0,48,Wright State University,Men
Am. Ind./AN,0,0,0,0,0,Xavier University,Men
Asian,0,0,0,0,0,Xavier University,Men
Black,7,0,0,0,3,Xavier University,Men
Hispanic,0,3,0,0,5,Xavier University,Men
Nat. Haw./PI,0,0,0,0,0,Xavier University,Men
US N-R,3,0,0,0,10,Xavier University,Men
Two or More,1,2,0,0,1,Xavier University,Men
Unknown,0,0,0,0,1,Xavier University,Men
White,3,25,11,0,41,Xavier University,Men
Total,14,30,11,0,61,Xavier University,Men
Am. Ind./AN,0,0,0,0,0,Yale University,Men
Asian,0,0,0,0,0,Yale University,Men
Black,0,0,0,0,0,Yale University,Men
Hispanic,0,0,0,0,0,Yale University,Men
Nat. Haw./PI,0,0,0,0,0,Yale University,Men
US N-R,0,0,0,0,0,Yale University,Men
Two or More,0,0,0,0,0,Yale University,Men
Unknown,0,0,0,0,0,Yale University,Men
White,0,0,0,0,0,Yale University,Men
Total,0,0,0,0,0,Yale University,Men
Am. Ind./AN,0,0,1,1,1,Youngstown State University,Men
Asian,0,0,0,0,0,Youngstown State University,Men
Black,8,3,3,48,0,Youngstown State University,Men
Hispanic,0,1,1,1,0,Youngstown State University,Men
Nat. Haw./PI,0,0,0,0,0,Youngstown State University,Men
US N-R,0,0,0,0,15,Youngstown State University,Men
Two or More,3,1,0,9,0,Youngstown State University,Men
Unknown,0,1,0,3,0,Youngstown State University,Men
White,2,18,41,40,18,Youngstown State University,Men
Total,13,24,46,102,34,Youngstown State University,Men
